column,dtype,rows,input_bytes,compressed_bytes,ratio,compress_ms_min,compress_ms_median,compress_ms_mean,compress_gbps_median,decompress_ms_min,decompress_ms_median,decompress_ms_mean,decompress_gbps_median,verify_ok
l_orderkey,i64,99988837,799910696,37236134,21.4821,1.47466,1.47911,1.4829,540.805,1.24996,1.25271,1.25323,638.544,1
l_partkey,i32,99988837,399955348,350839758,1.13999,0.578498,0.582594,0.583862,686.508,0.264513,0.26685,0.267521,1498.8,1
l_suppkey,i32,99988837,399955348,300845338,1.32944,0.538307,0.541283,0.542018,738.902,0.262914,0.265793,0.26532,1504.76,1
l_linenumber,i32,99988837,399955348,38374642,10.4224,0.523234,0.526755,0.527439,759.282,0.188993,0.190337,0.190593,2101.3,1
l_quantity,t26,99988837,799910696,202060005,3.95878,31.8005,31.8178,31.856,25.1403,2.61332,2.61608,2.61588,305.767,1
l_extendedprice,t26,99988837,799910696,403177916,1.98401,2.21412,2.2195,2.21861,360.402,1.36445,1.36669,1.3673,585.289,1
l_discount,t26,99988837,799910696,96961922,8.24974,1.34813,1.35351,1.35259,590.99,1.1609,1.16225,1.16339,688.246,1
l_tax,t26,99988837,799910696,90718810,8.81747,1.33601,1.33895,1.33871,597.416,1.14781,1.14999,1.14964,695.581,1
l_returnflag,str,99988837,499944189,25876057,19.3207,5.09417,5.10674,5.10779,97.8988,0.545474,0.551619,0.551215,906.322,1
l_linestatus,str,99988837,499944189,13377448,37.3722,5.48815,5.50066,5.49883,90.888,0.523522,0.524771,0.526889,952.69,1
l_shipdate,t12,99988837,399955348,150862082,2.65113,0.468098,0.476226,0.473826,839.844,0.235393,0.238305,0.237793,1678.33,1
l_commitdate,t12,99988837,399955348,150862082,2.65113,0.465442,0.467266,0.467765,855.948,0.234881,0.235265,0.236027,1700.02,1
l_receiptdate,t12,99988837,399955348,150862082,2.65113,0.461442,0.468546,0.466792,853.61,0.234561,0.235617,0.235419,1697.48,1
l_shipinstruct,str,99988837,1599743327,25876111,61.8232,7.28093,7.28739,7.29066,219.522,5.51218,5.52332,5.52276,289.634,1
l_shipmode,str,99988837,828469947,591875197,1.39974,0.957092,0.958981,0.959928,863.907,0.672931,0.675299,0.676515,1226.82,1
l_comment,str,99988837,3049724127,1245912024,2.44778,139.198,139.255,139.249,21.9002,13.1383,13.145,13.1445,232.007,1
TOTAL,(all),99988837,12877111347,3875717608,3.32251,199.227,199.381,199.417,64.5856,29.3501,29.3998,29.404,437.999,1
