# benchmark mode=per-column warmup=2 iters=5
# column | dtype | rows | input_bytes | compressed_bytes | ratio | comp_ms(min/med/mean) | comp_GBps | decomp_ms(min/med/mean) | decomp_GBps | verify
l_orderkey | i64 | 99988837 | 799910696 | 37236134 | 21.482x | 1.475/1.479/1.483 | 540.81 | 1.250/1.253/1.253 | 638.54 | ok
l_partkey | i32 | 99988837 | 399955348 | 350839758 | 1.140x | 0.578/0.583/0.584 | 686.51 | 0.265/0.267/0.268 | 1498.80 | ok
l_suppkey | i32 | 99988837 | 399955348 | 300845338 | 1.329x | 0.538/0.541/0.542 | 738.90 | 0.263/0.266/0.265 | 1504.76 | ok
l_linenumber | i32 | 99988837 | 399955348 | 38374642 | 10.422x | 0.523/0.527/0.527 | 759.28 | 0.189/0.190/0.191 | 2101.30 | ok
l_quantity | t26 | 99988837 | 799910696 | 202060005 | 3.959x | 31.800/31.818/31.856 | 25.14 | 2.613/2.616/2.616 | 305.77 | ok
l_extendedprice | t26 | 99988837 | 799910696 | 403177916 | 1.984x | 2.214/2.219/2.219 | 360.40 | 1.364/1.367/1.367 | 585.29 | ok
l_discount | t26 | 99988837 | 799910696 | 96961922 | 8.250x | 1.348/1.354/1.353 | 590.99 | 1.161/1.162/1.163 | 688.25 | ok
l_tax | t26 | 99988837 | 799910696 | 90718810 | 8.817x | 1.336/1.339/1.339 | 597.42 | 1.148/1.150/1.150 | 695.58 | ok
l_returnflag | str | 99988837 | 499944189 | 25876057 | 19.321x | 5.094/5.107/5.108 | 97.90 | 0.545/0.552/0.551 | 906.32 | ok
l_linestatus | str | 99988837 | 499944189 | 13377448 | 37.372x | 5.488/5.501/5.499 | 90.89 | 0.524/0.525/0.527 | 952.69 | ok
l_shipdate | t12 | 99988837 | 399955348 | 150862082 | 2.651x | 0.468/0.476/0.474 | 839.84 | 0.235/0.238/0.238 | 1678.33 | ok
l_commitdate | t12 | 99988837 | 399955348 | 150862082 | 2.651x | 0.465/0.467/0.468 | 855.95 | 0.235/0.235/0.236 | 1700.02 | ok
l_receiptdate | t12 | 99988837 | 399955348 | 150862082 | 2.651x | 0.461/0.469/0.467 | 853.61 | 0.235/0.236/0.235 | 1697.48 | ok
l_shipinstruct | str | 99988837 | 1599743327 | 25876111 | 61.823x | 7.281/7.287/7.291 | 219.52 | 5.512/5.523/5.523 | 289.63 | ok
l_shipmode | str | 99988837 | 828469947 | 591875197 | 1.400x | 0.957/0.959/0.960 | 863.91 | 0.673/0.675/0.677 | 1226.82 | ok
l_comment | str | 99988837 | 3049724127 | 1245912024 | 2.448x | 139.198/139.255/139.249 | 21.90 | 13.138/13.145/13.145 | 232.01 | ok
TOTAL | (all) | 99988837 | 12877111347 | 3875717608 | 3.323x | 199.227/199.381/199.417 | 64.59 | 29.350/29.400/29.404 | 438.00 | ok
