column,dtype,rows,input_bytes,compressed_bytes,ratio,compress_ms_min,compress_ms_median,compress_ms_mean,compress_gbps_median,decompress_ms_min,decompress_ms_median,decompress_ms_mean,decompress_gbps_median,verify_ok
o_orderkey,i64,99999964,799999712,7526152,106.296,2.33406,2.34171,2.34219,341.631,1.05869,1.06695,1.06455,749.801,1
o_custkey,i32,99999964,399999856,350878801,1.13999,0.57997,0.584675,0.584982,684.141,0.265538,0.268481,0.26834,1489.86,1
o_orderstatus,str,99999964,499999824,25878936,19.3207,5.11673,5.11938,5.12155,97.668,0.544706,0.550018,0.551254,909.061,1
o_totalprice,t26,99999964,799999712,434779656,1.84001,2.26152,2.26695,2.26614,352.896,1.37447,1.37617,1.37589,581.325,1
o_orderdate,t12,99999964,399999856,150878873,2.65113,0.469186,0.480322,0.478812,832.774,0.235617,0.237697,0.237831,1682.81,1
o_orderpriority,str,99999964,1240030274,38378984,32.3101,6.79421,6.81417,6.80846,181.978,4.96713,4.97442,4.9754,249.281,1
o_clerk,str,99999964,1899999320,258645215,7.34597,13.2611,13.2659,13.2679,143.224,3.87567,3.8829,3.88214,489.325,1
o_shippriority,i32,99999964,399999856,878925,455.101,0.188577,0.191489,0.191751,2088.89,0.116033,0.117152,0.117677,3414.37,1
o_comment,str,99999964,5250026621,2000099861,2.62488,231.282,231.406,231.403,22.6875,20.0787,20.0798,20.0849,261.459,1
TOTAL,(all),99999964,11690055031,3267945403,3.57719,262.288,262.47,262.465,44.5386,32.5165,32.5536,32.558,359.102,1
