# benchmark mode=per-column warmup=2 iters=5
# column | dtype | rows | input_bytes | compressed_bytes | ratio | comp_ms(min/med/mean) | comp_GBps | decomp_ms(min/med/mean) | decomp_GBps | verify
o_orderkey | i64 | 99999964 | 799999712 | 7526152 | 106.296x | 2.334/2.342/2.342 | 341.63 | 1.059/1.067/1.065 | 749.80 | ok
o_custkey | i32 | 99999964 | 399999856 | 350878801 | 1.140x | 0.580/0.585/0.585 | 684.14 | 0.266/0.268/0.268 | 1489.86 | ok
o_orderstatus | str | 99999964 | 499999824 | 25878936 | 19.321x | 5.117/5.119/5.122 | 97.67 | 0.545/0.550/0.551 | 909.06 | ok
o_totalprice | t26 | 99999964 | 799999712 | 434779656 | 1.840x | 2.262/2.267/2.266 | 352.90 | 1.374/1.376/1.376 | 581.33 | ok
o_orderdate | t12 | 99999964 | 399999856 | 150878873 | 2.651x | 0.469/0.480/0.479 | 832.77 | 0.236/0.238/0.238 | 1682.81 | ok
o_orderpriority | str | 99999964 | 1240030274 | 38378984 | 32.310x | 6.794/6.814/6.808 | 181.98 | 4.967/4.974/4.975 | 249.28 | ok
o_clerk | str | 99999964 | 1899999320 | 258645215 | 7.346x | 13.261/13.266/13.268 | 143.22 | 3.876/3.883/3.882 | 489.33 | ok
o_shippriority | i32 | 99999964 | 399999856 | 878925 | 455.101x | 0.189/0.191/0.192 | 2088.89 | 0.116/0.117/0.118 | 3414.37 | ok
o_comment | str | 99999964 | 5250026621 | 2000099861 | 2.625x | 231.282/231.406/231.403 | 22.69 | 20.079/20.080/20.085 | 261.46 | ok
TOTAL | (all) | 99999964 | 11690055031 | 3267945403 | 3.577x | 262.288/262.470/262.465 | 44.54 | 32.517/32.554/32.558 | 359.10 | ok
