column,dtype,rows,input_bytes,compressed_bytes,ratio,compress_ms_min,compress_ms_median,compress_ms_mean,compress_gbps_median,decompress_ms_min,decompress_ms_median,decompress_ms_mean,decompress_gbps_median,verify_ok
p_partkey,i32,99999984,399999936,1572156,254.428,1.31533,1.32292,1.32076,302.362,0.770307,0.773379,0.773085,517.211,1
p_name,str,99999984,3674977809,1374983331,2.67274,176.951,176.967,176.998,20.7664,13.6948,13.704,13.7013,268.168,1
p_mfgr,str,99999984,1799999716,38379015,46.9006,6.41228,6.42371,6.4266,280.212,2.50993,2.51265,2.51417,716.375,1
p_brand,str,99999984,1199999812,63379221,18.9336,5.62111,5.64466,5.6619,212.59,0.787235,0.7929,0.793527,1513.43,1
p_type,str,99999984,2459984862,100882603,24.3846,9.09722,9.17163,9.16775,268.217,7.25322,7.25894,7.2635,338.89,1
p_size,i32,99999984,399999936,75878913,5.27156,0.441314,0.44285,0.443887,903.24,0.226497,0.228929,0.229915,1747.27,1
p_container,str,99999984,1157507222,400000403,2.89377,6.2616,6.28393,6.28307,184.201,4.67129,4.67807,4.67651,247.433,1
p_retailprice,t26,99999984,799999872,353926036,2.26036,2.00411,2.00807,2.00908,398.392,1.36244,1.36532,1.3652,585.944,1
p_comment,str,99999984,1750008233,860856077,2.03287,78.5291,78.6371,78.6114,22.2542,6.93523,6.94365,6.94269,252.03,1
TOTAL,(all),99999984,13642477398,3269857755,4.17219,286.633,286.902,286.922,47.551,38.2109,38.2578,38.2599,356.593,1
