# benchmark mode=per-column warmup=2 iters=5
# column | dtype | rows | input_bytes | compressed_bytes | ratio | comp_ms(min/med/mean) | comp_GBps | decomp_ms(min/med/mean) | decomp_GBps | verify
p_partkey | i32 | 99999984 | 399999936 | 1572156 | 254.428x | 1.315/1.323/1.321 | 302.36 | 0.770/0.773/0.773 | 517.21 | ok
p_name | str | 99999984 | 3674977809 | 1374983331 | 2.673x | 176.951/176.967/176.998 | 20.77 | 13.695/13.704/13.701 | 268.17 | ok
p_mfgr | str | 99999984 | 1799999716 | 38379015 | 46.901x | 6.412/6.424/6.427 | 280.21 | 2.510/2.513/2.514 | 716.37 | ok
p_brand | str | 99999984 | 1199999812 | 63379221 | 18.934x | 5.621/5.645/5.662 | 212.59 | 0.787/0.793/0.794 | 1513.43 | ok
p_type | str | 99999984 | 2459984862 | 100882603 | 24.385x | 9.097/9.172/9.168 | 268.22 | 7.253/7.259/7.264 | 338.89 | ok
p_size | i32 | 99999984 | 399999936 | 75878913 | 5.272x | 0.441/0.443/0.444 | 903.24 | 0.226/0.229/0.230 | 1747.27 | ok
p_container | str | 99999984 | 1157507222 | 400000403 | 2.894x | 6.262/6.284/6.283 | 184.20 | 4.671/4.678/4.677 | 247.43 | ok
p_retailprice | t26 | 99999984 | 799999872 | 353926036 | 2.260x | 2.004/2.008/2.009 | 398.39 | 1.362/1.365/1.365 | 585.94 | ok
p_comment | str | 99999984 | 1750008233 | 860856077 | 2.033x | 78.529/78.637/78.611 | 22.25 | 6.935/6.944/6.943 | 252.03 | ok
TOTAL | (all) | 99999984 | 13642477398 | 3269857755 | 4.172x | 286.633/286.902/286.922 | 47.55 | 38.211/38.258/38.260 | 356.59 | ok
