query,run,phase,status,ms,rows
q01,1,warm,pass,26593,4
q01,2,warm,pass,27457,4
q01,3,warm,pass,27457,4
q03,0,cold,refused,1938,0
q04,1,warm,pass,6862,5
q04,2,warm,pass,4409,5
q04,3,warm,pass,6524,5
q06,1,warm,pass,2632,1
q06,2,warm,pass,2681,1
q06,3,warm,pass,5316,1
q07,0,cold,refused,3100,0
q11,0,cold,wedge,14874,0
q12,1,warm,pass,12693,2
q12,2,warm,pass,7709,2
q12,3,warm,pass,12692,2
q14,1,warm,pass,7523,1
q14,2,warm,pass,11040,1
q14,3,warm,pass,5940,1
q15,1,warm,wedge,20941,0
q16,1,warm,pass,3447,27840
q16,2,warm,pass,3591,27840
q16,3,warm,pass,4999,27840
q19,1,warm,pass,13206,1
q19,2,warm,pass,12883,1
q19,3,warm,pass,12364,1
q20,1,warm,pass,14185,72343
q20,2,warm,pass,14787,72343
q20,3,warm,pass,13076,72343
q22,1,warm,pass,3471,7
q22,2,warm,pass,3966,7
q22,3,warm,pass,4785,7
q13,1,warm,pass,8328,40
q13,2,warm,pass,5030,40
q13,3,warm,pass,6737,40
q17,0,cold,refused,44160,0
q21,0,cold,refused,18885,0
q02,1,warm,pass,9161,100
q02,2,warm,pass,4310,100
q02,3,warm,pass,3785,100
