query,run,phase,status,ms,rows
q01,0,cold,refused,137415,0
q03,1,warm,pass,56512,10
q03,2,warm,pass,48014,10
q03,3,warm,pass,50827,10
q04,1,warm,refused,116115,0
q06,1,warm,pass,54330,1
q06,2,warm,pass,57413,1
q06,3,warm,pass,53559,1
q07,0,cold,refused,164428,0
q12,1,warm,pass,42871,2
q12,2,warm,pass,40028,2
q12,3,warm,pass,44390,2
q13,1,warm,pass,10816,40
q13,2,warm,pass,15501,40
q13,3,warm,pass,13923,40
q14,1,warm,pass,27108,1
q14,2,warm,pass,27125,1
q14,3,warm,pass,27841,1
q16,1,warm,pass,9325,27840
q16,2,warm,pass,8175,27840
q16,3,warm,pass,8168,27840
q19,1,warm,pass,56314,1
q19,2,warm,pass,53804,1
q19,3,warm,pass,55298,1
q20,1,warm,pass,36910,72343
q20,2,warm,pass,37470,72343
q20,3,warm,pass,37867,72343
q22,1,warm,pass,8310,7
q22,2,warm,pass,5309,7
q22,3,warm,pass,5084,7
q02,1,warm,pass,20419,100
q02,2,warm,pass,19824,100
q02,3,warm,pass,20746,100
q17,0,cold,refused,120355,0
q11,0,cold,wedge,28012,0
