8-CN archived
=== Study 1 | 4 CN | pool=54GiB arena=24GiB host=200GiB ===
=== queries: q01 q03 q04 q06 q07 q12 q13 q14 q16 q19 q20 q22 q02 q17 q11
=== cluster up: 4/4 CNs ===
=== FE query_timeout set to 900s ===
cluster: 4 alive compute nodes + 0 alive backends (MIN_BACKENDS=4)
q01 r0 cold pass 25105ms rows=4
q01 r1 warm pass 22646ms rows=4
q01 r2 warm pass 18945ms rows=4
q01 r3 warm pass 20452ms rows=4
q03 r0 cold pass 8095ms rows=10
q03 r1 warm pass 6696ms rows=10
q03 r2 warm pass 8893ms rows=10
q03 r3 warm pass 6631ms rows=10
q04 r0 cold pass 7848ms rows=5
q04 r1 warm pass 3660ms rows=5
q04 r2 warm pass 3661ms rows=5
q04 r3 warm pass 8051ms rows=5
q06 r0 cold pass 3933ms rows=1
q06 r1 warm pass 8452ms rows=1
q06 r2 warm pass 5959ms rows=1
q06 r3 warm pass 4065ms rows=1
q07 r0 cold pass 11924ms rows=4
q07 r1 warm pass 12693ms rows=4
q07 r2 warm pass 7627ms rows=4
q07 r3 warm pass 11153ms rows=4
q12 r0 cold pass 7791ms rows=2
q12 r1 warm pass 6094ms rows=2
q12 r2 warm pass 4049ms rows=2
q12 r3 warm pass 8166ms rows=2
q13 r0 cold pass 3200ms rows=40
q13 r1 warm pass 3215ms rows=40
q13 r2 warm pass 5715ms rows=40
q13 r3 warm pass 3133ms rows=40
q14 r0 cold pass 5920ms rows=1
q14 r1 warm pass 8482ms rows=1
q14 r2 warm pass 4139ms rows=1
q14 r3 warm pass 3503ms rows=1
q16 r0 cold pass 5678ms rows=27840
q16 r1 warm pass 2386ms rows=27840
q16 r2 warm pass 2979ms rows=27840
q16 r3 warm pass 968ms rows=27840
q19 r0 cold pass 6033ms rows=1
q19 r1 warm pass 8510ms rows=1
q19 r2 warm pass 7650ms rows=1
q19 r3 warm pass 7574ms rows=1
q20 r0 cold pass 9013ms rows=72343
q20 r1 warm pass 6494ms rows=72343
q20 r2 warm pass 7503ms rows=72343
q20 r3 warm pass 7763ms rows=72343
q22 r0 cold pass 3172ms rows=7
q22 r1 warm pass 1588ms rows=7
q22 r2 warm pass 2960ms rows=7
q22 r3 warm pass 4156ms rows=7
q02 r0 cold pass 3368ms rows=100
q02 r1 warm pass 3402ms rows=100
q02 r2 warm pass 4124ms rows=100
q02 r3 warm pass 4599ms rows=100
q17 r0 cold pass 17526ms rows=1
q17 r1 warm pass 10373ms rows=1
q17 r2 warm pass 12352ms rows=1
q17 r3 warm pass 15729ms rows=1
q11 r0 cold WEDGE/TIMEOUT (rc=0, cut at 420s)
restarting cluster...
== bench complete: /tmp/bench/study1-4cn/timings.csv ==
=== 4-CN arm complete -> /tmp/bench/study1-4cn/timings.csv ===
