query,run,phase,status,ms,rows
q01,1,warm,pass,22646,4
q01,2,warm,pass,18945,4
q01,3,warm,pass,20452,4
q03,1,warm,pass,6696,10
q03,2,warm,pass,8893,10
q03,3,warm,pass,6631,10
q04,1,warm,pass,3660,5
q04,2,warm,pass,3661,5
q04,3,warm,pass,8051,5
q06,1,warm,pass,8452,1
q06,2,warm,pass,5959,1
q06,3,warm,pass,4065,1
q07,1,warm,pass,12693,4
q07,2,warm,pass,7627,4
q07,3,warm,pass,11153,4
q12,1,warm,pass,6094,2
q12,2,warm,pass,4049,2
q12,3,warm,pass,8166,2
q13,1,warm,pass,3215,40
q13,2,warm,pass,5715,40
q13,3,warm,pass,3133,40
q14,1,warm,pass,8482,1
q14,2,warm,pass,4139,1
q14,3,warm,pass,3503,1
q16,1,warm,pass,2386,27840
q16,2,warm,pass,2979,27840
q16,3,warm,pass,968,27840
q19,1,warm,pass,8510,1
q19,2,warm,pass,7650,1
q19,3,warm,pass,7574,1
q20,1,warm,pass,6494,72343
q20,2,warm,pass,7503,72343
q20,3,warm,pass,7763,72343
q22,1,warm,pass,1588,7
q22,2,warm,pass,2960,7
q22,3,warm,pass,4156,7
q02,1,warm,pass,3402,100
q02,2,warm,pass,4124,100
q02,3,warm,pass,4599,100
q17,1,warm,pass,10373,1
q17,2,warm,pass,12352,1
q17,3,warm,pass,15729,1
q11,0,cold,wedge,6801,0
