query,run,phase,status,ms,rows
q01,1,warm,pass,34405,4
q01,2,warm,pass,31915,4
q01,3,warm,pass,33100,4
q03,1,warm,pass,13103,10
q03,2,warm,pass,13714,10
q03,3,warm,pass,14266,10
q04,1,warm,pass,8562,5
q04,2,warm,pass,12457,5
q04,3,warm,pass,6771,5
q06,1,warm,pass,16395,1
q06,2,warm,pass,14221,1
q06,3,warm,pass,15041,1
q07,0,cold,refused,616332,0
q12,0,cold,refused,121484,0
q13,1,warm,pass,5971,30
q13,2,warm,pass,5935,30
q13,3,warm,pass,6161,30
q14,1,warm,pass,9110,1
q14,2,warm,pass,10488,1
q14,3,warm,pass,10146,1
q16,1,warm,pass,5110,27840
q16,2,warm,pass,2870,27840
q16,3,warm,pass,3101,27840
q19,1,warm,pass,16018,1
q19,2,warm,pass,14729,1
q19,3,warm,pass,15066,1
q20,1,warm,pass,15518,112013
q20,2,warm,pass,14232,112013
q20,3,warm,pass,13992,112013
q22,1,warm,pass,4036,7
q22,2,warm,pass,5012,7
q22,3,warm,pass,6337,7
q02,0,cold,refused,300238,0
q17,1,warm,pass,30033,1
q17,2,warm,pass,19957,1
q17,3,warm,pass,19984,1
q11,0,cold,wedge,8714,0
