engine,query,iteration,runtime_s
sirius,q1,0,0.143210
sirius,q1,1,0.105999
sirius,q1,2,0.090861
sirius,q2,0,0.111271
sirius,q2,1,0.033515
sirius,q2,2,0.033098
sirius,q3,0,0.064849
sirius,q3,1,0.032676
sirius,q3,2,0.032004
sirius,q4,0,0.048215
sirius,q4,1,0.026833
sirius,q4,2,0.026257
sirius,q5,0,0.064197
sirius,q5,1,0.038891
sirius,q5,2,0.038958
sirius,q6,0,0.032784
sirius,q6,1,0.013092
sirius,q6,2,0.012765
sirius,q7,0,0.068574
sirius,q7,1,0.043762
sirius,q7,2,0.043734
sirius,q8,0,0.051047
sirius,q8,1,0.038539
sirius,q8,2,0.038789
sirius,q9,0,0.098005
sirius,q9,1,0.092688
sirius,q9,2,0.092704
sirius,q10,0,0.038703
sirius,q10,1,0.034904
sirius,q10,2,0.035065
sirius,q11,0,0.036788
sirius,q11,1,0.018024
sirius,q11,2,0.017570
sirius,q12,0,0.061140
sirius,q12,1,0.027003
sirius,q12,2,0.029826
sirius,q13,0,0.031985
sirius,q13,1,0.017329
sirius,q13,2,0.017389
sirius,q14,0,0.018491
sirius,q14,1,0.017533
sirius,q14,2,0.017131
sirius,q15,0,0.035146
sirius,q15,1,0.018013
sirius,q15,2,0.018016
sirius,q16,0,0.146295
sirius,q16,1,0.046771
sirius,q16,2,0.045866
sirius,q17,0,0.056379
sirius,q17,1,0.033740
sirius,q17,2,0.033451
sirius,q18,0,0.135391
sirius,q18,1,0.133859
sirius,q18,2,0.133541
sirius,q19,0,0.072032
sirius,q19,1,0.038043
sirius,q19,2,0.037764
sirius,q20,0,0.047826
sirius,q20,1,0.039336
sirius,q20,2,0.039336
sirius,q21,0,0.113922
sirius,q21,1,0.098486
sirius,q21,2,0.097965
sirius,q22,0,0.038742
sirius,q22,1,0.021914
sirius,q22,2,0.021857
