engine,query,iteration,runtime_s
sirius,q1,0,0.124749
sirius,q1,1,0.077099
sirius,q1,2,0.070258
sirius,q2,0,0.114541
sirius,q2,1,0.034879
sirius,q2,2,0.034435
sirius,q3,0,0.070184
sirius,q3,1,0.032747
sirius,q3,2,0.032935
sirius,q4,0,0.049422
sirius,q4,1,0.027063
sirius,q4,2,0.027219
sirius,q5,0,0.064987
sirius,q5,1,0.039842
sirius,q5,2,0.039304
sirius,q6,0,0.032917
sirius,q6,1,0.012906
sirius,q6,2,0.012548
sirius,q7,0,0.069637
sirius,q7,1,0.043797
sirius,q7,2,0.043780
sirius,q8,0,0.053682
sirius,q8,1,0.041072
sirius,q8,2,0.040650
sirius,q9,0,0.098226
sirius,q9,1,0.094428
sirius,q9,2,0.094778
sirius,q10,0,0.043142
sirius,q10,1,0.037743
sirius,q10,2,0.037918
sirius,q11,0,0.037038
sirius,q11,1,0.017844
sirius,q11,2,0.017723
sirius,q12,0,0.063516
sirius,q12,1,0.032104
sirius,q12,2,0.031974
sirius,q13,0,0.018402
sirius,q13,1,0.017652
sirius,q13,2,0.017579
sirius,q14,0,0.018187
sirius,q14,1,0.017603
sirius,q14,2,0.017222
sirius,q15,0,0.034789
sirius,q15,1,0.017420
sirius,q15,2,0.017180
sirius,q16,0,0.147228
sirius,q16,1,0.046620
sirius,q16,2,0.046849
sirius,q17,0,0.058143
sirius,q17,1,0.034559
sirius,q17,2,0.034956
sirius,q18,0,0.134815
sirius,q18,1,0.132660
sirius,q18,2,0.132198
sirius,q19,0,0.080094
sirius,q19,1,0.045779
sirius,q19,2,0.044352
sirius,q20,0,0.049071
sirius,q20,1,0.039578
sirius,q20,2,0.039267
sirius,q21,0,0.115629
sirius,q21,1,0.098473
sirius,q21,2,0.098889
sirius,q22,0,0.039599
sirius,q22,1,0.022399
sirius,q22,2,0.022319
