engine,query,iteration,runtime_s
sirius,q1,0,0.726247
sirius,q1,1,0.675182
sirius,q1,2,0.671595
sirius,q2,0,0.225689
sirius,q2,1,0.128341
sirius,q2,2,0.127441
sirius,q3,0,0.314263
sirius,q3,1,0.295849
sirius,q3,2,0.295449
sirius,q4,0,0.286797
sirius,q4,1,0.254330
sirius,q4,2,0.252849
sirius,q5,0,0.407177
sirius,q5,1,0.397245
sirius,q5,2,0.379947
sirius,q6,0,0.088901
sirius,q6,1,0.065963
sirius,q6,2,0.067076
sirius,q7,0,0.320351
sirius,q7,1,0.299370
sirius,q7,2,0.301358
sirius,q8,0,0.443842
sirius,q8,1,0.456964
sirius,q8,2,0.457673
sirius,q9,0,1.182116
sirius,q9,1,1.188386
sirius,q9,2,1.211323
sirius,q10,0,0.751794
sirius,q10,1,0.728525
sirius,q10,2,0.745333
sirius,q11,0,0.102933
sirius,q11,1,0.082787
sirius,q11,2,0.081699
sirius,q12,0,0.257422
sirius,q12,1,0.227641
sirius,q12,2,0.227178
sirius,q13,0,0.361235
sirius,q13,1,0.357206
sirius,q13,2,0.355986
sirius,q14,0,0.105461
sirius,q14,1,0.106804
sirius,q14,2,0.103733
sirius,q15,0,0.095379
sirius,q15,1,0.079841
sirius,q15,2,0.076801
sirius,q16,0,0.332027
sirius,q16,1,0.227051
sirius,q16,2,0.231703
sirius,q17,0,0.383694
sirius,q17,1,0.354211
sirius,q17,2,0.365101
sirius,q18,0,2.035622
sirius,q18,1,2.031810
sirius,q18,2,2.036491
sirius,q19,0,1.050209
sirius,q19,1,1.057447
sirius,q19,2,1.158662
sirius,q20,0,0.197203
sirius,q20,1,0.189684
sirius,q20,2,0.193240
sirius,q21,0,1.131907
sirius,q21,1,1.140415
sirius,q21,2,1.130616
sirius,q22,0,0.156562
sirius,q22,1,0.141200
sirius,q22,2,0.141388
