engine,query,iteration,runtime_s
sirius,q1,0,0.887993
sirius,q1,1,0.868236
sirius,q1,2,0.846405
sirius,q2,0,0.216099
sirius,q2,1,0.128806
sirius,q2,2,0.127694
sirius,q3,0,0.464565
sirius,q3,1,0.418809
sirius,q3,2,0.407786
sirius,q4,0,0.374761
sirius,q4,1,0.341954
sirius,q4,2,0.347920
sirius,q5,0,0.443093
sirius,q5,1,0.407386
sirius,q5,2,0.409211
sirius,q6,0,0.268735
sirius,q6,1,0.245537
sirius,q6,2,0.252528
sirius,q7,0,0.500678
sirius,q7,1,0.477067
sirius,q7,2,0.483584
sirius,q8,0,0.456191
sirius,q8,1,0.447904
sirius,q8,2,0.447950
sirius,q9,0,1.192665
sirius,q9,1,1.194173
sirius,q9,2,1.174723
sirius,q10,0,0.770147
sirius,q10,1,0.767660
sirius,q10,2,0.775933
sirius,q11,0,0.102171
sirius,q11,1,0.080423
sirius,q11,2,0.080796
sirius,q12,0,0.565271
sirius,q12,1,0.572345
sirius,q12,2,0.560290
sirius,q13,0,0.355814
sirius,q13,1,0.358852
sirius,q13,2,0.358587
sirius,q14,0,0.272158
sirius,q14,1,0.254735
sirius,q14,2,0.260352
sirius,q15,0,0.247723
sirius,q15,1,0.230893
sirius,q15,2,0.223206
sirius,q16,0,0.331918
sirius,q16,1,0.229961
sirius,q16,2,0.232514
sirius,q17,0,0.372665
sirius,q17,1,0.365828
sirius,q17,2,0.369741
sirius,q18,0,2.054966
sirius,q18,1,2.031453
sirius,q18,2,2.032085
sirius,q19,0,1.031477
sirius,q19,1,1.057461
sirius,q19,2,1.053613
sirius,q20,0,0.339755
sirius,q20,1,0.331037
sirius,q20,2,0.321316
sirius,q21,0,1.111411
sirius,q21,1,1.124834
sirius,q21,2,1.083893
sirius,q22,0,0.157077
sirius,q22,1,0.140672
sirius,q22,2,0.141410
