('Customer#101152111', 101152111, 1499040929, datetime.date(1998, 3, 11), Decimal('602901.81'), Decimal('321.00'))
('Customer#102538214', 102538214, 3953307941, datetime.date(1998, 5, 27), Decimal('602901.81'), Decimal('321.00'))
('Customer#107212873', 107212873, 1538557767, datetime.date(1995, 10, 20), Decimal('589263.48'), Decimal('322.00'))
('Customer#047877014', 47877014, 5269325251, datetime.date(1992, 10, 12), Decimal('586657.82'), Decimal('311.00'))
('Customer#013476808', 13476808, 1587924709, datetime.date(1993, 12, 8), Decimal('586657.82'), Decimal('311.00'))
('Customer#023639368', 23639368, 2815058215, datetime.date(1996, 5, 15), Decimal('586657.82'), Decimal('311.00'))
('Customer#077641073', 77641073, 360791203, datetime.date(1996, 8, 24), Decimal('586657.82'), Decimal('311.00'))
('Customer#136074337', 136074337, 5516355846, datetime.date(1995, 11, 17), Decimal('586650.13'), Decimal('336.00'))
('Customer#067835404', 67835404, 265688738, datetime.date(1993, 10, 7), Decimal('586295.93'), Decimal('308.00'))
('Customer#024921106', 24921106, 5402410403, datetime.date(1992, 2, 2), Decimal('584508.95'), Decimal('330.00'))
('Customer#100007089', 100007089, 415729891, datetime.date(1994, 7, 26), Decimal('583283.02'), Decimal('314.00'))
('Customer#030259576', 30259576, 2869996903, datetime.date(1996, 9, 10), Decimal('583283.02'), Decimal('314.00'))
('Customer#144300041', 144300041, 4344889121, datetime.date(1995, 9, 27), Decimal('582708.25'), Decimal('328.00'))
('Customer#016933177', 16933177, 2447829637, datetime.date(1997, 8, 30), Decimal('581920.15'), Decimal('333.00'))
('Customer#054491287', 54491287, 3674963143, datetime.date(1997, 9, 11), Decimal('581920.15'), Decimal('333.00'))
('Customer#122878553', 122878553, 1220696131, datetime.date(1998, 4, 9), Decimal('581920.15'), Decimal('333.00'))
('Customer#027994354', 27994354, 3059824805, datetime.date(1998, 1, 15), Decimal('580696.91'), Decimal('312.00'))
('Customer#110364508', 110364508, 5820154436, datetime.date(1997, 6, 18), Decimal('580547.98'), Decimal('332.00'))
('Customer#066344690', 66344690, 5289178852, datetime.date(1994, 5, 16), Decimal('580219.55'), Decimal('321.00'))
('Customer#089156914', 89156914, 3281699648, datetime.date(1996, 9, 6), Decimal('579511.71'), Decimal('310.00'))
('Customer#011795269', 11795269, 1809812544, datetime.date(1992, 1, 14), Decimal('577631.36'), Decimal('318.00'))
('Customer#119133178', 119133178, 2882403394, datetime.date(1994, 12, 1), Decimal('576680.71'), Decimal('336.00'))
