engine,query,iteration,runtime_s
sirius,q1,0,0.676883
sirius,q1,1,0.620093
sirius,q1,2,0.621304
sirius,q2,0,0.210913
sirius,q2,1,0.137845
sirius,q2,2,0.136859
sirius,q3,0,0.353773
sirius,q3,1,0.328507
sirius,q3,2,0.330199
sirius,q4,0,0.326758
sirius,q4,1,0.289645
sirius,q4,2,0.308173
sirius,q5,0,0.420517
sirius,q5,1,0.410498
sirius,q5,2,0.389830
sirius,q6,0,0.092317
sirius,q6,1,0.078780
sirius,q6,2,0.080625
sirius,q7,0,0.318383
sirius,q7,1,0.291183
sirius,q7,2,0.306103
sirius,q8,0,0.478398
sirius,q8,1,0.391867
sirius,q8,2,0.461002
sirius,q9,0,1.093552
sirius,q9,1,1.091251
sirius,q9,2,1.090014
sirius,q10,0,0.673836
sirius,q10,1,0.672679
sirius,q10,2,0.678811
sirius,q11,0,0.114743
sirius,q11,1,0.081715
sirius,q11,2,0.103773
sirius,q12,0,0.323757
sirius,q12,1,0.293715
sirius,q12,2,0.328257
sirius,q13,0,0.345631
sirius,q13,1,0.345504
sirius,q13,2,0.351665
sirius,q14,0,0.141707
sirius,q14,1,0.146301
sirius,q14,2,0.140010
sirius,q15,0,0.106489
sirius,q15,1,0.092442
sirius,q15,2,0.092021
sirius,q16,0,0.327758
sirius,q16,1,0.227411
sirius,q16,2,0.226569
sirius,q17,0,0.418217
sirius,q17,1,0.392291
sirius,q17,2,0.332262
sirius,q18,0,1.830355
sirius,q18,1,1.799077
sirius,q18,2,1.993425
sirius,q19,0,0.684996
sirius,q19,1,0.687510
sirius,q19,2,0.645849
sirius,q20,0,0.240660
sirius,q20,1,0.230803
sirius,q20,2,0.215369
sirius,q21,0,1.146574
sirius,q21,1,1.034414
sirius,q21,2,1.034689
sirius,q22,0,0.151528
sirius,q22,1,0.132243
sirius,q22,2,0.129007
