engine,query,iteration,runtime_s
sirius,q1,0,0.734785
sirius,q1,1,0.683112
sirius,q1,2,0.676371
sirius,q2,0,0.213595
sirius,q2,1,0.137626
sirius,q2,2,0.136035
sirius,q3,0,0.397192
sirius,q3,1,0.376345
sirius,q3,2,0.378358
sirius,q4,0,0.367925
sirius,q4,1,0.345914
sirius,q4,2,0.336969
sirius,q5,0,0.443308
sirius,q5,1,0.420414
sirius,q5,2,0.376193
sirius,q6,0,0.194800
sirius,q6,1,0.173965
sirius,q6,2,0.181240
sirius,q7,0,0.418044
sirius,q7,1,0.390092
sirius,q7,2,0.423632
sirius,q8,0,0.408172
sirius,q8,1,0.396560
sirius,q8,2,0.395699
sirius,q9,0,1.090261
sirius,q9,1,1.110734
sirius,q9,2,1.090597
sirius,q10,0,0.694935
sirius,q10,1,0.674001
sirius,q10,2,0.676619
sirius,q11,0,0.117693
sirius,q11,1,0.082854
sirius,q11,2,0.100150
sirius,q12,0,0.462635
sirius,q12,1,0.429309
sirius,q12,2,0.439845
sirius,q13,0,0.345527
sirius,q13,1,0.351965
sirius,q13,2,0.343624
sirius,q14,0,0.220688
sirius,q14,1,0.225640
sirius,q14,2,0.228957
sirius,q15,0,0.190903
sirius,q15,1,0.183644
sirius,q15,2,0.177044
sirius,q16,0,0.323761
sirius,q16,1,0.228368
sirius,q16,2,0.226397
sirius,q17,0,0.407887
sirius,q17,1,0.384347
sirius,q17,2,0.386783
sirius,q18,0,1.979259
sirius,q18,1,1.971522
sirius,q18,2,1.827238
sirius,q19,0,0.688935
sirius,q19,1,0.698111
sirius,q19,2,0.663591
sirius,q20,0,0.309841
sirius,q20,1,0.316239
sirius,q20,2,0.315912
sirius,q21,0,1.122248
sirius,q21,1,1.050624
sirius,q21,2,1.159936
sirius,q22,0,0.152633
sirius,q22,1,0.131775
sirius,q22,2,0.133457
