engine,query,iteration,runtime_s
sirius,q1,0,0.833275
sirius,q1,1,0.768387
sirius,q1,2,0.777784
sirius,q2,0,0.228676
sirius,q2,1,0.142892
sirius,q2,2,0.139113
sirius,q3,0,0.408583
sirius,q3,1,0.395607
sirius,q3,2,0.402298
sirius,q4,0,0.394134
sirius,q4,1,0.358553
sirius,q4,2,0.359784
sirius,q5,0,0.477419
sirius,q5,1,0.458601
sirius,q5,2,0.459723
sirius,q6,0,0.180789
sirius,q6,1,0.167795
sirius,q6,2,0.175194
sirius,q7,0,0.455668
sirius,q7,1,0.436065
sirius,q7,2,0.433188
sirius,q8,0,0.506137
sirius,q8,1,0.499648
sirius,q8,2,0.495817
sirius,q9,0,1.255638
sirius,q9,1,1.275214
sirius,q9,2,1.129841
sirius,q10,0,0.885493
sirius,q10,1,0.883433
sirius,q10,2,0.901623
sirius,q11,0,0.125304
sirius,q11,1,0.106103
sirius,q11,2,0.105923
sirius,q12,0,0.494266
sirius,q12,1,0.470146
sirius,q12,2,0.464088
sirius,q13,0,0.367190
sirius,q13,1,0.372736
sirius,q13,2,0.372106
sirius,q14,0,0.213527
sirius,q14,1,0.230154
sirius,q14,2,0.218925
sirius,q15,0,0.210090
sirius,q15,1,0.200338
sirius,q15,2,0.183455
sirius,q16,0,0.328351
sirius,q16,1,0.230753
sirius,q16,2,0.229662
sirius,q17,0,0.441791
sirius,q17,1,0.418574
sirius,q17,2,0.419584
sirius,q18,0,1.895827
sirius,q18,1,2.074809
sirius,q18,2,1.755914
sirius,q19,0,0.573054
sirius,q19,1,0.527873
sirius,q19,2,0.618787
sirius,q20,0,0.335465
sirius,q20,1,0.321792
sirius,q20,2,0.325314
sirius,q21,0,1.421860
sirius,q21,1,1.310456
sirius,q21,2,1.290832
sirius,q22,0,0.144260
sirius,q22,1,0.127271
sirius,q22,2,0.126264
