engine,query,iteration,runtime_s
sirius,q1,0,0.682957
sirius,q1,1,0.619209
sirius,q1,2,0.618175
sirius,q2,0,0.209575
sirius,q2,1,0.138444
sirius,q2,2,0.137391
sirius,q3,0,0.337880
sirius,q3,1,0.318686
sirius,q3,2,0.312338
sirius,q4,0,0.315093
sirius,q4,1,0.303667
sirius,q4,2,0.279001
sirius,q5,0,0.432458
sirius,q5,1,0.389090
sirius,q5,2,0.409959
sirius,q6,0,0.093887
sirius,q6,1,0.082230
sirius,q6,2,0.077413
sirius,q7,0,0.338001
sirius,q7,1,0.329465
sirius,q7,2,0.328453
sirius,q8,0,0.459826
sirius,q8,1,0.394544
sirius,q8,2,0.399341
sirius,q9,0,1.092956
sirius,q9,1,1.116421
sirius,q9,2,1.107201
sirius,q10,0,0.687536
sirius,q10,1,0.666542
sirius,q10,2,0.666208
sirius,q11,0,0.100139
sirius,q11,1,0.081353
sirius,q11,2,0.100119
sirius,q12,0,0.342220
sirius,q12,1,0.298977
sirius,q12,2,0.315071
sirius,q13,0,0.346394
sirius,q13,1,0.348432
sirius,q13,2,0.344419
sirius,q14,0,0.149019
sirius,q14,1,0.139556
sirius,q14,2,0.138342
sirius,q15,0,0.115011
sirius,q15,1,0.092943
sirius,q15,2,0.094724
sirius,q16,0,0.327062
sirius,q16,1,0.227895
sirius,q16,2,0.226869
sirius,q17,0,0.342950
sirius,q17,1,0.392224
sirius,q17,2,0.379334
sirius,q18,0,2.001329
sirius,q18,1,1.811099
sirius,q18,2,1.829560
sirius,q19,0,0.712660
sirius,q19,1,0.640088
sirius,q19,2,0.660814
sirius,q20,0,0.242555
sirius,q20,1,0.222296
sirius,q20,2,0.230900
sirius,q21,0,1.172303
sirius,q21,1,1.050618
sirius,q21,2,1.098466
sirius,q22,0,0.153254
sirius,q22,1,0.134232
sirius,q22,2,0.132308
