engine,query,iteration,runtime_s
sirius,q1,0,2.789243
sirius,q1,1,0.552769
sirius,q1,2,0.548913
sirius,q2,0,2.590213
sirius,q2,1,0.064363
sirius,q2,2,0.062078
sirius,q3,0,0.591028
sirius,q3,1,0.279113
sirius,q3,2,0.278973
sirius,q4,0,1.045934
sirius,q4,1,0.205187
sirius,q4,2,0.203763
sirius,q5,0,0.856265
sirius,q5,1,0.254795
sirius,q5,2,0.253499
sirius,q6,0,0.665369
sirius,q6,1,0.041867
sirius,q6,2,0.041286
sirius,q7,0,0.261719
sirius,q7,1,0.230781
sirius,q7,2,0.232026
sirius,q8,0,0.231305
sirius,q8,1,0.207067
sirius,q8,2,0.207267
sirius,q9,0,0.954287
sirius,q9,1,0.937284
sirius,q9,2,0.936617
sirius,q10,0,0.248376
sirius,q10,1,0.238302
sirius,q10,2,0.235153
sirius,q11,0,0.929162
sirius,q11,1,0.056670
sirius,q11,2,0.055609
sirius,q12,0,0.527010
sirius,q12,1,0.212959
sirius,q12,2,0.218474
sirius,q13,0,0.175669
sirius,q13,1,0.174055
sirius,q13,2,0.174485
sirius,q14,0,0.077044
sirius,q14,1,0.074484
sirius,q14,2,0.074482
sirius,q15,0,0.664059
sirius,q15,1,0.061898
sirius,q15,2,0.061070
sirius,q16,0,3.673607
sirius,q16,1,0.192850
sirius,q16,2,0.191956
sirius,q17,0,0.213953
sirius,q17,1,0.179104
sirius,q17,2,0.181212
sirius,q18,0,2.054782
sirius,q18,1,1.727675
sirius,q18,2,1.853377
sirius,q19,0,0.248984
sirius,q19,1,0.199430
sirius,q19,2,0.199216
sirius,q20,0,0.151928
sirius,q20,1,0.139823
sirius,q20,2,0.140070
sirius,q21,0,1.745696
sirius,q21,1,0.858172
sirius,q21,2,0.857258
sirius,q22,0,0.110557
sirius,q22,1,0.091185
sirius,q22,2,0.091228
