engine,query,iteration,runtime_s
sirius,q1,0,0.623945
sirius,q1,1,0.554022
sirius,q1,2,0.619498
sirius,q2,0,0.158247
sirius,q2,1,0.064223
sirius,q2,2,0.063142
sirius,q3,0,0.305549
sirius,q3,1,0.287629
sirius,q3,2,0.289156
sirius,q4,0,0.234279
sirius,q4,1,0.204424
sirius,q4,2,0.205190
sirius,q5,0,0.278956
sirius,q5,1,0.258422
sirius,q5,2,0.258664
sirius,q6,0,0.065351
sirius,q6,1,0.049661
sirius,q6,2,0.049563
sirius,q7,0,0.266188
sirius,q7,1,0.242131
sirius,q7,2,0.238790
sirius,q8,0,0.222689
sirius,q8,1,0.209626
sirius,q8,2,0.209051
sirius,q9,0,0.944731
sirius,q9,1,0.934124
sirius,q9,2,0.945666
sirius,q10,0,0.242534
sirius,q10,1,0.236897
sirius,q10,2,0.234770
sirius,q11,0,0.075497
sirius,q11,1,0.056202
sirius,q11,2,0.056210
sirius,q12,0,0.273817
sirius,q12,1,0.231140
sirius,q12,2,0.236786
sirius,q13,0,0.175269
sirius,q13,1,0.174387
sirius,q13,2,0.174150
sirius,q14,0,0.077865
sirius,q14,1,0.075409
sirius,q14,2,0.075108
sirius,q15,0,0.080976
sirius,q15,1,0.062928
sirius,q15,2,0.062760
sirius,q16,0,0.290237
sirius,q16,1,0.192530
sirius,q16,2,0.192680
sirius,q17,0,0.203024
sirius,q17,1,0.184971
sirius,q17,2,0.179897
sirius,q18,0,1.772036
sirius,q18,1,1.694335
sirius,q18,2,1.686931
sirius,q19,0,0.234995
sirius,q19,1,0.200122
sirius,q19,2,0.204698
sirius,q20,0,0.166318
sirius,q20,1,0.151266
sirius,q20,2,0.152223
sirius,q21,0,0.870844
sirius,q21,1,0.856129
sirius,q21,2,0.856215
sirius,q22,0,0.108202
sirius,q22,1,0.090156
sirius,q22,2,0.090356
