engine,query,iteration,runtime_s
sirius,q1,0,0.140352
sirius,q1,1,0.098595
sirius,q1,2,0.094328
sirius,q2,0,0.118649
sirius,q2,1,0.033973
sirius,q2,2,0.033333
sirius,q3,0,0.063940
sirius,q3,1,0.031863
sirius,q3,2,0.031865
sirius,q4,0,0.048044
sirius,q4,1,0.026428
sirius,q4,2,0.026258
sirius,q5,0,0.064269
sirius,q5,1,0.039302
sirius,q5,2,0.038730
sirius,q6,0,0.032734
sirius,q6,1,0.012789
sirius,q6,2,0.012873
sirius,q7,0,0.068381
sirius,q7,1,0.043667
sirius,q7,2,0.043906
sirius,q8,0,0.051532
sirius,q8,1,0.039331
sirius,q8,2,0.038569
sirius,q9,0,0.096169
sirius,q9,1,0.092975
sirius,q9,2,0.092291
sirius,q10,0,0.039517
sirius,q10,1,0.034873
sirius,q10,2,0.034610
sirius,q11,0,0.036183
sirius,q11,1,0.017630
sirius,q11,2,0.017848
sirius,q12,0,0.061490
sirius,q12,1,0.026805
sirius,q12,2,0.026599
sirius,q13,0,0.030874
sirius,q13,1,0.017111
sirius,q13,2,0.017240
sirius,q14,0,0.018111
sirius,q14,1,0.017303
sirius,q14,2,0.017285
sirius,q15,0,0.035348
sirius,q15,1,0.017958
sirius,q15,2,0.018075
sirius,q16,0,0.147530
sirius,q16,1,0.046409
sirius,q16,2,0.046366
sirius,q17,0,0.056105
sirius,q17,1,0.033900
sirius,q17,2,0.034041
sirius,q18,0,0.134737
sirius,q18,1,0.134012
sirius,q18,2,0.133547
sirius,q19,0,0.071759
sirius,q19,1,0.037774
sirius,q19,2,0.038248
sirius,q20,0,0.047075
sirius,q20,1,0.039626
sirius,q20,2,0.039409
sirius,q21,0,0.113662
sirius,q21,1,0.098364
sirius,q21,2,0.098419
sirius,q22,0,0.039106
sirius,q22,1,0.022130
sirius,q22,2,0.021976
