('Customer#011472112', 11472112, 458304292, datetime.date(1998, 2, 5), Decimal('591036.15'), Decimal('322.00'))
('Customer#012090925', 12090925, 501322081, datetime.date(1995, 2, 4), Decimal('586945.44'), Decimal('319.00'))
('Customer#001392379', 1392379, 332381222, datetime.date(1998, 1, 24), Decimal('575600.00'), Decimal('311.00'))
('Customer#013458721', 13458721, 333307747, datetime.date(1997, 12, 19), Decimal('572334.88'), Decimal('319.00'))
('Customer#008643083', 8643083, 84927619, datetime.date(1997, 6, 29), Decimal('571417.48'), Decimal('316.00'))
('Customer#010543705', 10543705, 163142919, datetime.date(1996, 6, 10), Decimal('569798.10'), Decimal('313.00'))
('Customer#000026377', 26377, 586594688, datetime.date(1992, 4, 14), Decimal('569044.84'), Decimal('311.00'))
('Customer#005914657', 5914657, 55799200, datetime.date(1996, 2, 11), Decimal('568754.48'), Decimal('327.00'))
('Customer#011461310', 11461310, 20662370, datetime.date(1992, 7, 22), Decimal('566353.20'), Decimal('315.00'))
('Customer#007682894', 7682894, 532736640, datetime.date(1993, 7, 22), Decimal('563532.16'), Decimal('316.00'))
('Customer#012070685', 12070685, 34201984, datetime.date(1997, 6, 18), Decimal('563492.49'), Decimal('322.00'))
('Customer#012878113', 12878113, 42290181, datetime.date(1997, 11, 26), Decimal('563479.57'), Decimal('318.00'))
('Customer#000506836', 506836, 116567399, datetime.date(1992, 3, 21), Decimal('563342.71'), Decimal('319.00'))
('Customer#012848143', 12848143, 501771233, datetime.date(1994, 12, 6), Decimal('562642.03'), Decimal('317.00'))
('Customer#003493022', 3493022, 182898470, datetime.date(1996, 1, 9), Decimal('561296.06'), Decimal('318.00'))
('Customer#013083751', 13083751, 28077922, datetime.date(1996, 10, 27), Decimal('560893.88'), Decimal('319.00'))
('Customer#006580315', 6580315, 343593507, datetime.date(1994, 5, 20), Decimal('560058.60'), Decimal('321.00'))
('Customer#009427249', 9427249, 48881602, datetime.date(1993, 9, 19), Decimal('559502.82'), Decimal('327.00'))
('Customer#009995401', 9995401, 530897159, datetime.date(1994, 5, 2), Decimal('558771.77'), Decimal('305.00'))
('Customer#006094567', 6094567, 156159680, datetime.date(1994, 11, 15), Decimal('558037.12'), Decimal('308.00'))
('Customer#006594658', 6594658, 555833473, datetime.date(1997, 8, 1), Decimal('557961.99'), Decimal('324.00'))
('Customer#005925541', 5925541, 446215044, datetime.date(1992, 5, 13), Decimal('556993.03'), Decimal('318.00'))
('Customer#007010650', 7010650, 587222276, datetime.date(1993, 12, 17), Decimal('555946.71'), Decimal('329.00'))
('Customer#008211575', 8211575, 218305350, datetime.date(1992, 12, 19), Decimal('555691.15'), Decimal('316.00'))
('Customer#005523215', 5523215, 499594150, datetime.date(1997, 12, 30), Decimal('552295.59'), Decimal('322.00'))
('Customer#003592226', 3592226, 94936672, datetime.date(1992, 2, 28), Decimal('551850.29'), Decimal('307.00'))
('Customer#006048598', 6048598, 45897379, datetime.date(1994, 5, 30), Decimal('550195.48'), Decimal('318.00'))
('Customer#013889867', 13889867, 322196069, datetime.date(1992, 12, 24), Decimal('549996.06'), Decimal('313.00'))
('Customer#007847146', 7847146, 75799361, datetime.date(1994, 6, 22), Decimal('549769.03'), Decimal('307.00'))
('Customer#002538608', 2538608, 406952547, datetime.date(1992, 4, 14), Decimal('549380.73'), Decimal('304.00'))
