engine,query,iteration,runtime_s
sirius,q1,0,0.127395
sirius,q1,1,0.070632
sirius,q1,2,0.068725
sirius,q2,0,0.118913
sirius,q2,1,0.034390
sirius,q2,2,0.033623
sirius,q3,0,0.069922
sirius,q3,1,0.030871
sirius,q3,2,0.030024
sirius,q4,0,0.048385
sirius,q4,1,0.026444
sirius,q4,2,0.026308
sirius,q5,0,0.064509
sirius,q5,1,0.038779
sirius,q5,2,0.038774
sirius,q6,0,0.030518
sirius,q6,1,0.010573
sirius,q6,2,0.010564
sirius,q7,0,0.064829
sirius,q7,1,0.039977
sirius,q7,2,0.039775
sirius,q8,0,0.053994
sirius,q8,1,0.040891
sirius,q8,2,0.040800
sirius,q9,0,0.099060
sirius,q9,1,0.093658
sirius,q9,2,0.093574
sirius,q10,0,0.042940
sirius,q10,1,0.038106
sirius,q10,2,0.037842
sirius,q11,0,0.036817
sirius,q11,1,0.017971
sirius,q11,2,0.017690
sirius,q12,0,0.062870
sirius,q12,1,0.031289
sirius,q12,2,0.031092
sirius,q13,0,0.018322
sirius,q13,1,0.017648
sirius,q13,2,0.017443
sirius,q14,0,0.017843
sirius,q14,1,0.017058
sirius,q14,2,0.016695
sirius,q15,0,0.034344
sirius,q15,1,0.016817
sirius,q15,2,0.016584
sirius,q16,0,0.147181
sirius,q16,1,0.047050
sirius,q16,2,0.046355
sirius,q17,0,0.057483
sirius,q17,1,0.035025
sirius,q17,2,0.034889
sirius,q18,0,0.133950
sirius,q18,1,0.132651
sirius,q18,2,0.132705
sirius,q19,0,0.080789
sirius,q19,1,0.045407
sirius,q19,2,0.044942
sirius,q20,0,0.044564
sirius,q20,1,0.036391
sirius,q20,2,0.036469
sirius,q21,0,0.114381
sirius,q21,1,0.098605
sirius,q21,2,0.098068
sirius,q22,0,0.039773
sirius,q22,1,0.022576
sirius,q22,2,0.022023
