engine,query,iteration,runtime_s
sirius,q1,0,0.130552
sirius,q1,1,0.071745
sirius,q1,2,0.070621
sirius,q2,0,0.117645
sirius,q2,1,0.035380
sirius,q2,2,0.034341
sirius,q3,0,0.070698
sirius,q3,1,0.033200
sirius,q3,2,0.032926
sirius,q4,0,0.054669
sirius,q4,1,0.030139
sirius,q4,2,0.029682
sirius,q5,0,0.067157
sirius,q5,1,0.041787
sirius,q5,2,0.041477
sirius,q6,0,0.031741
sirius,q6,1,0.010906
sirius,q6,2,0.010770
sirius,q7,0,0.067808
sirius,q7,1,0.042747
sirius,q7,2,0.042340
sirius,q8,0,0.060003
sirius,q8,1,0.048782
sirius,q8,2,0.048391
sirius,q9,0,0.106053
sirius,q9,1,0.103896
sirius,q9,2,0.102719
sirius,q10,0,0.050522
sirius,q10,1,0.045115
sirius,q10,2,0.044762
sirius,q11,0,0.036928
sirius,q11,1,0.017724
sirius,q11,2,0.017454
sirius,q12,0,0.060505
sirius,q12,1,0.029117
sirius,q12,2,0.029146
sirius,q13,0,0.019265
sirius,q13,1,0.018229
sirius,q13,2,0.018103
sirius,q14,0,0.019376
sirius,q14,1,0.018264
sirius,q14,2,0.018455
sirius,q15,0,0.035543
sirius,q15,1,0.017430
sirius,q15,2,0.017210
sirius,q16,0,0.148009
sirius,q16,1,0.047683
sirius,q16,2,0.046878
sirius,q17,0,0.062662
sirius,q17,1,0.040233
sirius,q17,2,0.039659
sirius,q18,0,0.141504
sirius,q18,1,0.140099
sirius,q18,2,0.140318
sirius,q19,0,0.110910
sirius,q19,1,0.077600
sirius,q19,2,0.076859
sirius,q20,0,0.044933
sirius,q20,1,0.036486
sirius,q20,2,0.036825
sirius,q21,0,0.124366
sirius,q21,1,0.109377
sirius,q21,2,0.109109
sirius,q22,0,0.039120
sirius,q22,1,0.021961
sirius,q22,2,0.021973
