engine,query,iteration,runtime_s
sirius,q1,0,0.131010
sirius,q1,1,0.073842
sirius,q1,2,0.073797
sirius,q2,0,0.114758
sirius,q2,1,0.034757
sirius,q2,2,0.034394
sirius,q3,0,0.076054
sirius,q3,1,0.037546
sirius,q3,2,0.037561
sirius,q4,0,0.055312
sirius,q4,1,0.030410
sirius,q4,2,0.030026
sirius,q5,0,0.068250
sirius,q5,1,0.042471
sirius,q5,2,0.042049
sirius,q6,0,0.031327
sirius,q6,1,0.015121
sirius,q6,2,0.015238
sirius,q7,0,0.075593
sirius,q7,1,0.051147
sirius,q7,2,0.050277
sirius,q8,0,0.059822
sirius,q8,1,0.046526
sirius,q8,2,0.047140
sirius,q9,0,0.106233
sirius,q9,1,0.103991
sirius,q9,2,0.103204
sirius,q10,0,0.050839
sirius,q10,1,0.044645
sirius,q10,2,0.045453
sirius,q11,0,0.036959
sirius,q11,1,0.017732
sirius,q11,2,0.017574
sirius,q12,0,0.081302
sirius,q12,1,0.040498
sirius,q12,2,0.040888
sirius,q13,0,0.019284
sirius,q13,1,0.017734
sirius,q13,2,0.017917
sirius,q14,0,0.021434
sirius,q14,1,0.021376
sirius,q14,2,0.020514
sirius,q15,0,0.039449
sirius,q15,1,0.021795
sirius,q15,2,0.021457
sirius,q16,0,0.147458
sirius,q16,1,0.047881
sirius,q16,2,0.047526
sirius,q17,0,0.063263
sirius,q17,1,0.040563
sirius,q17,2,0.039747
sirius,q18,0,0.141909
sirius,q18,1,0.140470
sirius,q18,2,0.140694
sirius,q19,0,0.113755
sirius,q19,1,0.074949
sirius,q19,2,0.075851
sirius,q20,0,0.052325
sirius,q20,1,0.043318
sirius,q20,2,0.043544
sirius,q21,0,0.124607
sirius,q21,1,0.108362
sirius,q21,2,0.109556
sirius,q22,0,0.039684
sirius,q22,1,0.022226
sirius,q22,2,0.022326
