query,run,phase,status,ms,rows
q01,0,cold,pass,4700,4
q01,1,warm,pass,3974,4
q01,2,warm,pass,3998,4
q01,3,warm,pass,4053,4
q02,0,cold,pass,630,100
q02,1,warm,pass,538,100
q02,2,warm,pass,512,100
q02,3,warm,pass,496,100
q03,0,cold,pass,1033,10
q03,1,warm,pass,1063,10
q03,2,warm,pass,1064,10
q03,3,warm,pass,1064,10
q04,0,cold,pass,787,5
q04,1,warm,pass,728,5
q04,2,warm,pass,731,5
q04,3,warm,pass,726,5
q05,0,cold,pass,1978,5
q05,1,warm,pass,1961,5
q05,2,warm,pass,1961,5
q05,3,warm,pass,1964,5
q06,0,cold,pass,816,1
q06,1,warm,pass,795,1
q06,2,warm,pass,789,1
q06,3,warm,pass,791,1
q07,0,cold,pass,1430,4
q07,1,warm,pass,1417,4
q07,2,warm,pass,1415,4
q07,3,warm,pass,1413,4
q08,0,cold,refused,52980,0
q08,1,warm,refused,1559,0
q09,0,cold,wedge,240002,0
q09,1,warm,wedge,180003,0
q10,0,cold,pass,1992,20
q10,1,warm,pass,1199,20
q10,2,warm,pass,1343,20
q10,3,warm,pass,1271,20
q11,0,cold,wedge,620,0
q11,1,warm,wedge,622,0
q12,0,cold,pass,1518,2
q12,1,warm,pass,821,2
q12,2,warm,pass,808,2
q12,3,warm,pass,807,2
q13,0,cold,pass,875,45
q13,1,warm,pass,841,45
q13,2,warm,pass,842,45
q13,3,warm,pass,844,45
q14,0,cold,pass,1104,1
q14,1,warm,pass,1057,1
q14,2,warm,pass,1052,1
q14,3,warm,pass,1011,1
q15,0,cold,wedge,1939,0
q15,1,warm,pass,1949,1
q15,2,warm,wedge,1921,0
q16,0,cold,pass,1034,27840
q16,1,warm,pass,281,27840
q16,2,warm,pass,264,27840
q16,3,warm,pass,302,27840
q17,0,cold,pass,2421,1
q17,1,warm,pass,2262,1
q17,2,warm,pass,2249,1
q17,3,warm,pass,2241,1
q18,0,cold,pass,1556,100
q18,1,warm,pass,1619,100
q18,2,warm,pass,1605,100
q18,3,warm,pass,1562,100
q19,0,cold,pass,1106,1
q19,1,warm,pass,1045,1
q19,2,warm,pass,1079,1
q19,3,warm,pass,1046,1
q20,0,cold,pass,1480,17971
q20,1,warm,pass,1464,17971
q20,2,warm,pass,1465,17971
q20,3,warm,pass,1462,17971
q21,0,cold,pass,2744,100
q21,1,warm,pass,2710,100
q21,2,warm,pass,2705,100
q21,3,warm,pass,2714,100
q22,0,cold,pass,426,7
q22,1,warm,pass,403,7
q22,2,warm,pass,398,7
q22,3,warm,pass,395,7
