query,run,phase,status,ms,rows
q01,0,cold,pass,4731,4
q01,1,warm,pass,4111,4
q01,2,warm,pass,4092,4
q01,3,warm,pass,4093,4
q02,0,cold,pass,664,100
q02,1,warm,pass,545,100
q02,2,warm,pass,576,100
q02,3,warm,pass,573,100
q03,0,cold,pass,1068,10
q03,1,warm,pass,1058,10
q03,2,warm,pass,1061,10
q03,3,warm,pass,1006,10
q04,0,cold,pass,789,5
q04,1,warm,pass,663,5
q04,2,warm,pass,691,5
q04,3,warm,pass,725,5
q05,0,cold,pass,1918,5
q05,1,warm,pass,1950,5
q05,2,warm,pass,1942,5
q05,3,warm,pass,1949,5
q06,0,cold,pass,818,1
q06,1,warm,pass,795,1
q06,2,warm,pass,793,1
q06,3,warm,pass,789,1
q07,0,cold,pass,1440,4
q07,1,warm,pass,1433,4
q07,2,warm,pass,1420,4
q07,3,warm,pass,1417,4
q08,0,cold,refused,52995,0
q08,1,warm,refused,53241,0
q09,0,cold,wedge,240002,0
q09,1,warm,wedge,180002,0
q10,0,cold,pass,1887,20
q10,1,warm,pass,1249,20
q10,2,warm,pass,1231,20
q10,3,warm,pass,1223,20
q11,0,cold,wedge,618,0
q11,1,warm,wedge,619,0
q12,0,cold,pass,1476,2
q12,1,warm,pass,803,2
q12,2,warm,pass,791,2
q12,3,warm,pass,790,2
q13,0,cold,pass,872,45
q13,1,warm,pass,834,45
q13,2,warm,pass,833,45
q13,3,warm,pass,832,45
q14,0,cold,pass,1051,1
q14,1,warm,pass,1048,1
q14,2,warm,pass,1043,1
q14,3,warm,pass,1043,1
q15,0,cold,pass,1968,1
q15,1,warm,wedge,1920,0
q16,0,cold,pass,983,27840
q16,1,warm,pass,272,27840
q16,2,warm,pass,260,27840
q16,3,warm,pass,250,27840
q17,0,cold,pass,2437,1
q17,1,warm,pass,2264,1
q17,2,warm,pass,2251,1
q17,3,warm,pass,2267,1
q18,0,cold,pass,1568,100
q18,1,warm,pass,1563,100
q18,2,warm,pass,1550,100
q18,3,warm,pass,1537,100
q19,0,cold,pass,1072,1
q19,1,warm,pass,1012,1
q19,2,warm,pass,1052,1
q19,3,warm,pass,1011,1
q20,0,cold,pass,1478,17971
q20,1,warm,pass,1461,17971
q20,2,warm,pass,1459,17971
q20,3,warm,pass,1453,17971
q21,0,cold,pass,2695,100
q21,1,warm,pass,2692,100
q21,2,warm,pass,2686,100
q21,3,warm,pass,2691,100
q22,0,cold,pass,423,7
q22,1,warm,pass,403,7
q22,2,warm,pass,394,7
q22,3,warm,pass,391,7
