query,run,phase,status,ms,rows
q01,0,cold,pass,4764,4
q01,1,warm,pass,4100,4
q01,2,warm,pass,4034,4
q01,3,warm,pass,4014,4
q02,0,cold,pass,653,100
q02,1,warm,pass,547,100
q02,2,warm,pass,520,100
q02,3,warm,pass,501,100
q03,0,cold,pass,1011,10
q03,1,warm,pass,1043,10
q03,2,warm,pass,1016,10
q03,3,warm,pass,1074,10
q04,0,cold,pass,796,5
q04,1,warm,pass,737,5
q04,2,warm,pass,658,5
q04,3,warm,pass,737,5
q05,0,cold,pass,1910,5
q05,1,warm,pass,1940,5
q05,2,warm,pass,1949,5
q05,3,warm,pass,1945,5
q06,0,cold,pass,822,1
q06,1,warm,pass,784,1
q06,2,warm,pass,793,1
q06,3,warm,pass,788,1
q07,0,cold,pass,1437,4
q07,1,warm,pass,1430,4
q07,2,warm,pass,1427,4
q07,3,warm,pass,1413,4
q08,0,cold,pass,1911,2
q08,1,warm,pass,1927,2
q08,2,warm,pass,1910,2
q08,3,warm,pass,1870,2
q09,0,cold,pass,2092,175
q09,1,warm,pass,2096,175
q09,2,warm,pass,2088,175
q09,3,warm,pass,2090,175
q10,0,cold,pass,1239,20
q10,1,warm,pass,1162,20
q10,2,warm,pass,1161,20
q10,3,warm,pass,1256,20
q11,0,cold,wedge,601,0
q11,1,warm,wedge,631,0
q12,0,cold,pass,1584,2
q12,1,warm,pass,827,2
q12,2,warm,pass,803,2
q12,3,warm,pass,793,2
q13,0,cold,pass,875,45
q13,1,warm,pass,839,45
q13,2,warm,pass,832,45
q13,3,warm,pass,872,45
q14,0,cold,pass,1078,1
q14,1,warm,pass,3884,1
q14,2,warm,pass,1016,1
q14,3,warm,pass,1009,1
q15,0,cold,pass,1969,1
q15,1,warm,wedge,1888,0
q16,0,cold,pass,1086,27840
q16,1,warm,pass,288,27840
q16,2,warm,pass,272,27840
q16,3,warm,pass,269,27840
q17,0,cold,pass,2436,1
q17,1,warm,pass,2267,1
q17,2,warm,pass,2263,1
q17,3,warm,pass,2262,1
q18,0,cold,pass,1568,100
q18,1,warm,pass,1536,100
q18,2,warm,pass,1587,100
q18,3,warm,pass,1570,100
q19,0,cold,pass,1068,1
q19,1,warm,pass,1045,1
q19,2,warm,pass,1047,1
q19,3,warm,pass,1005,1
q20,0,cold,pass,1481,17971
q20,1,warm,pass,1456,17971
q20,2,warm,pass,1483,17971
q20,3,warm,pass,1459,17971
q21,0,cold,pass,2712,100
q21,1,warm,pass,2702,100
q21,2,warm,pass,2673,100
q21,3,warm,pass,2694,100
q22,0,cold,pass,434,7
q22,1,warm,pass,404,7
q22,2,warm,pass,393,7
q22,3,warm,pass,383,7
