query,run,phase,status,ms,rows
q01,0,cold,pass,4307,4
q01,1,warm,pass,4315,4
q01,2,warm,pass,4016,4
q01,3,warm,pass,4181,4
q02,0,cold,pass,1286,100
q02,1,warm,pass,1215,100
q02,2,warm,pass,1209,100
q02,3,warm,pass,1187,100
q03,0,cold,pass,1812,10
q03,1,warm,pass,1850,10
q03,2,warm,pass,1826,10
q03,3,warm,pass,1820,10
q04,0,cold,pass,1196,5
q04,1,warm,pass,1133,5
q04,2,warm,pass,1136,5
q04,3,warm,pass,1141,5
q05,0,cold,pass,2809,5
q05,1,warm,pass,2799,5
q05,2,warm,pass,2811,5
q05,3,warm,pass,2808,5
q06,0,cold,pass,1225,1
q06,1,warm,pass,1228,1
q06,2,warm,pass,1222,1
q06,3,warm,pass,1247,1
q07,0,cold,pass,2290,4
q07,1,warm,pass,2255,4
q07,2,warm,pass,2278,4
q07,3,warm,pass,2266,4
q08,0,cold,pass,2893,2
q08,1,warm,pass,2882,2
q08,2,warm,pass,2886,2
q08,3,warm,pass,2886,2
q09,0,cold,pass,3564,175
q09,1,warm,pass,3564,175
q09,2,warm,pass,3521,175
q09,3,warm,pass,3551,175
q10,0,cold,refused,1601,0
q10,1,warm,refused,1594,0
q11,0,cold,wedge,1484,0
q11,1,warm,wedge,830,0
q12,0,cold,pass,1929,2
q12,1,warm,pass,1157,2
q12,2,warm,pass,1140,2
q12,3,warm,pass,1135,2
q13,0,cold,pass,1597,45
q13,1,warm,pass,1551,45
q13,2,warm,pass,1553,45
q13,3,warm,pass,1557,45
q14,0,cold,pass,1523,1
q14,1,warm,pass,1468,1
q14,2,warm,pass,1466,1
q14,3,warm,pass,1468,1
q15,0,cold,pass,3082,1
q15,1,warm,pass,3072,1
q15,2,warm,wedge,3050,0
q16,0,cold,pass,1617,27840
q16,1,warm,pass,791,27840
q16,2,warm,pass,776,27840
q16,3,warm,pass,771,27840
q17,0,cold,pass,2982,1
q17,1,warm,pass,2845,1
q17,2,warm,pass,2821,1
q17,3,warm,pass,2809,1
q18,0,cold,pass,2445,100
q18,1,warm,pass,2409,100
q18,2,warm,pass,2420,100
q18,3,warm,pass,2403,100
q19,0,cold,pass,1679,1
q19,1,warm,pass,1626,1
q19,2,warm,pass,1652,1
q19,3,warm,pass,1657,1
q20,0,cold,pass,2411,17971
q20,1,warm,pass,2426,17971
q20,2,warm,pass,2398,17971
q20,3,warm,pass,2383,17971
q21,0,cold,pass,3966,100
q21,1,warm,pass,3901,100
q21,2,warm,pass,3900,100
q21,3,warm,pass,3858,100
q22,0,cold,pass,1032,7
q22,1,warm,pass,1005,7
q22,2,warm,pass,1007,7
q22,3,warm,pass,1003,7
