query,run,phase,status,ms,rows
q01,0,cold,pass,4065,4
q01,1,warm,pass,4018,4
q01,2,warm,pass,4404,4
q01,3,warm,pass,3931,4
q02,0,cold,pass,1200,100
q02,1,warm,pass,1176,100
q02,2,warm,pass,1193,100
q02,3,warm,pass,1187,100
q03,0,cold,pass,1826,10
q03,1,warm,pass,1802,10
q03,2,warm,pass,1718,10
q03,3,warm,pass,1820,10
q04,0,cold,pass,1139,5
q04,1,warm,pass,1144,5
q04,2,warm,pass,1144,5
q04,3,warm,pass,1138,5
q05,0,cold,pass,2806,5
q05,1,warm,pass,2801,5
q05,2,warm,pass,2802,5
q05,3,warm,pass,2816,5
q06,0,cold,pass,1223,1
q06,1,warm,pass,3961,1
q06,2,warm,pass,1255,1
q06,3,warm,pass,1237,1
q07,0,cold,pass,2259,4
q07,1,warm,pass,2257,4
q07,2,warm,pass,2275,4
q07,3,warm,pass,3782,4
q08,0,cold,pass,2877,2
q08,1,warm,pass,2882,2
q08,2,warm,pass,2891,2
q08,3,warm,pass,2875,2
q09,0,cold,pass,3600,175
q09,1,warm,pass,3560,175
q09,2,warm,pass,3583,175
q09,3,warm,pass,3600,175
q10,0,cold,pass,3911,20
q10,1,warm,pass,3698,20
q10,2,warm,pass,3843,20
q10,3,warm,pass,5656,20
q11,0,cold,wedge,3481,0
q11,1,warm,wedge,4078,0
q12,0,cold,pass,9748,2
q12,1,warm,pass,1960,2
q12,2,warm,pass,1833,2
q12,3,warm,pass,1463,2
q13,0,cold,pass,1620,45
q13,1,warm,pass,1576,45
q13,2,warm,pass,1601,45
q13,3,warm,pass,1716,45
q14,0,cold,pass,1732,1
q14,1,warm,pass,1656,1
q14,2,warm,pass,1672,1
q14,3,warm,pass,1671,1
q15,0,cold,wedge,3426,0
q15,1,warm,wedge,3356,0
q16,0,cold,pass,1739,27840
q16,1,warm,pass,830,27840
q16,2,warm,pass,830,27840
q16,3,warm,pass,816,27840
q17,0,cold,pass,3079,1
q17,1,warm,pass,2891,1
q17,2,warm,pass,2924,1
q17,3,warm,pass,2827,1
q18,0,cold,pass,2520,100
q18,1,warm,pass,2440,100
q18,2,warm,pass,2471,100
q18,3,warm,pass,2589,100
q19,0,cold,pass,1653,1
q19,1,warm,pass,1679,1
q19,2,warm,pass,1681,1
q19,3,warm,pass,1851,1
q20,0,cold,pass,2634,17971
q20,1,warm,pass,2455,17971
q20,2,warm,pass,2407,17971
q20,3,warm,pass,2566,17971
q21,0,cold,pass,3976,100
q21,1,warm,pass,4290,100
q21,2,warm,pass,4095,100
q21,3,warm,pass,3916,100
q22,0,cold,pass,1080,7
q22,1,warm,pass,1025,7
q22,2,warm,pass,1028,7
q22,3,warm,pass,1026,7
