query,run,phase,status,ms,rows
q01,0,cold,pass,4585,4
q01,1,warm,pass,4043,4
q01,2,warm,pass,4047,4
q01,3,warm,pass,4023,4
q02,0,cold,pass,649,100
q02,1,warm,pass,513,100
q02,2,warm,pass,520,100
q02,3,warm,pass,504,100
q03,0,cold,pass,1106,10
q03,1,warm,pass,1042,10
q03,2,warm,pass,1005,10
q03,3,warm,pass,1074,10
q04,0,cold,pass,777,5
q04,1,warm,pass,665,5
q04,2,warm,pass,672,5
q04,3,warm,pass,681,5
q05,0,cold,pass,1924,5
q05,1,warm,pass,1955,5
q05,2,warm,pass,1967,5
q05,3,warm,pass,1955,5
q06,0,cold,pass,827,1
q06,1,warm,pass,800,1
q06,2,warm,pass,787,1
q06,3,warm,pass,782,1
q07,0,cold,pass,1417,4
q07,1,warm,pass,1442,4
q07,2,warm,pass,1406,4
q07,3,warm,pass,1416,4
q10,0,cold,pass,1285,20
q10,1,warm,pass,1293,20
q10,2,warm,pass,1200,20
q10,3,warm,pass,1292,20
q12,0,cold,pass,832,2
q12,1,warm,pass,827,2
q12,2,warm,pass,814,2
q12,3,warm,pass,820,2
q13,0,cold,pass,873,45
q13,1,warm,pass,865,45
q13,2,warm,pass,864,45
q13,3,warm,pass,864,45
q14,0,cold,pass,1054,1
q14,1,warm,pass,1043,1
q14,2,warm,pass,1035,1
q14,3,warm,pass,1048,1
q15,0,cold,wedge,1946,0
q15,1,warm,pass,1943,1
q15,2,warm,wedge,1926,0
q16,0,cold,pass,970,27840
q16,1,warm,pass,266,27840
q16,2,warm,pass,254,27840
q16,3,warm,pass,253,27840
q17,0,cold,pass,2402,1
q17,1,warm,pass,2253,1
q17,2,warm,pass,2254,1
q17,3,warm,pass,2297,1
q18,0,cold,pass,1561,100
q18,1,warm,pass,1549,100
q18,2,warm,pass,1532,100
q18,3,warm,pass,1549,100
q19,0,cold,pass,1097,1
q19,1,warm,pass,1075,1
q19,2,warm,pass,1078,1
q19,3,warm,pass,1034,1
q20,0,cold,pass,1462,17971
q20,1,warm,pass,1413,17971
q20,2,warm,pass,1448,17971
q20,3,warm,pass,1450,17971
q21,0,cold,pass,2684,100
q21,1,warm,pass,2670,100
q21,2,warm,pass,2657,100
q21,3,warm,pass,2674,100
q22,0,cold,pass,421,7
q22,1,warm,pass,398,7
q22,2,warm,pass,391,7
q22,3,warm,pass,388,7
