query,run,phase,status,ms,rows
q01,0,cold,pass,4635,4
q01,1,warm,pass,4033,4
q01,2,warm,pass,4035,4
q01,3,warm,pass,3939,4
q02,0,cold,pass,671,100
q02,1,warm,pass,508,100
q02,2,warm,pass,533,100
q02,3,warm,pass,521,100
q03,0,cold,pass,1028,10
q03,1,warm,pass,1017,10
q03,2,warm,pass,1009,10
q03,3,warm,pass,1052,10
q04,0,cold,pass,786,5
q04,1,warm,pass,685,5
q04,2,warm,pass,722,5
q04,3,warm,pass,723,5
q05,0,cold,pass,1921,5
q05,1,warm,pass,2014,5
q05,2,warm,pass,1956,5
q05,3,warm,pass,1954,5
q06,0,cold,pass,815,1
q06,1,warm,pass,793,1
q06,2,warm,pass,785,1
q06,3,warm,pass,785,1
q07,0,cold,pass,1425,4
q07,1,warm,pass,1413,4
q07,2,warm,pass,1397,4
q07,3,warm,pass,1416,4
q08,0,cold,pass,1905,2
q08,1,warm,pass,1917,2
q08,2,warm,pass,1897,2
q08,3,warm,pass,1893,2
q09,0,cold,pass,2088,175
q09,1,warm,pass,2098,175
q09,2,warm,pass,2115,175
q09,3,warm,pass,2116,175
q10,0,cold,pass,1281,20
q10,1,warm,pass,1326,20
q10,2,warm,pass,1278,20
q10,3,warm,pass,1344,20
q11,0,cold,wedge,647,0
q11,1,warm,wedge,591,0
q12,0,cold,pass,1559,2
q12,1,warm,pass,820,2
q12,2,warm,pass,800,2
q12,3,warm,pass,803,2
q13,0,cold,pass,869,45
q13,1,warm,pass,833,45
q13,2,warm,pass,866,45
q13,3,warm,pass,828,45
q14,0,cold,pass,1058,1
q14,1,warm,pass,1051,1
q14,2,warm,pass,1000,1
q14,3,warm,pass,1046,1
q15,0,cold,wedge,1953,0
q15,1,warm,wedge,1937,0
q16,0,cold,pass,1101,27840
q16,1,warm,pass,284,27840
q16,2,warm,pass,269,27840
q16,3,warm,pass,265,27840
q17,0,cold,pass,2460,1
q17,1,warm,pass,2272,1
q17,2,warm,pass,2243,1
q17,3,warm,pass,2192,1
q18,0,cold,pass,1560,100
q18,1,warm,pass,1557,100
q18,2,warm,pass,1543,100
q18,3,warm,pass,1530,100
q19,0,cold,pass,1051,1
q19,1,warm,pass,1058,1
q19,2,warm,pass,1067,1
q19,3,warm,pass,1064,1
q20,0,cold,pass,1471,17971
q20,1,warm,pass,1447,17971
q20,2,warm,pass,1444,17971
q20,3,warm,pass,1449,17971
q21,0,cold,pass,2730,100
q21,1,warm,pass,2688,100
q21,2,warm,pass,2676,100
q21,3,warm,pass,2634,100
q22,0,cold,pass,418,7
q22,1,warm,pass,398,7
q22,2,warm,pass,393,7
q22,3,warm,pass,388,7
