query,run,phase,status,ms,rows
q01,0,cold,pass,4079,4
q01,1,warm,pass,4007,4
q01,2,warm,pass,3997,4
q01,3,warm,pass,3954,4
q02,0,cold,pass,534,100
q02,1,warm,pass,539,100
q02,2,warm,pass,516,100
q02,3,warm,pass,522,100
q03,0,cold,pass,1067,10
q03,1,warm,pass,1054,10
q03,2,warm,pass,1051,10
q03,3,warm,pass,1047,10
q04,0,cold,pass,750,5
q04,1,warm,pass,704,5
q04,2,warm,pass,707,5
q04,3,warm,pass,703,5
q05,0,cold,pass,1910,5
q05,1,warm,pass,1910,5
q05,2,warm,pass,1904,5
q05,3,warm,pass,1905,5
q06,0,cold,pass,792,1
q06,1,warm,pass,790,1
q06,2,warm,pass,776,1
q06,3,warm,pass,778,1
q07,0,cold,pass,1411,4
q07,1,warm,pass,1397,4
q07,2,warm,pass,1390,4
q07,3,warm,pass,1391,4
q08,0,cold,pass,1853,2
q08,1,warm,pass,1848,2
q08,2,warm,pass,1853,2
q08,3,warm,pass,1841,2
q09,0,cold,pass,2091,175
q09,1,warm,pass,2063,175
q09,2,warm,pass,2078,175
q09,3,warm,pass,2050,175
q10,0,cold,pass,1221,20
q10,1,warm,pass,1152,20
q10,2,warm,pass,1229,20
q10,3,warm,pass,1205,20
q11,0,cold,wedge,583,0
q11,1,warm,wedge,613,0
q12,0,cold,pass,1420,2
q12,1,warm,pass,799,2
q12,2,warm,pass,792,2
q12,3,warm,pass,778,2
q13,0,cold,pass,854,45
q13,1,warm,pass,821,45
q13,2,warm,pass,816,45
q13,3,warm,pass,815,45
q14,0,cold,pass,1031,1
q14,1,warm,pass,1029,1
q14,2,warm,pass,1029,1
q14,3,warm,pass,1028,1
q15,0,cold,wedge,1891,0
q15,1,warm,pass,1909,1
q15,2,warm,wedge,1902,0
q16,0,cold,pass,936,27840
q16,1,warm,pass,258,27840
q16,2,warm,pass,252,27840
q16,3,warm,pass,243,27840
q17,0,cold,pass,2385,1
q17,1,warm,pass,2252,1
q17,2,warm,pass,2234,1
q17,3,warm,pass,2218,1
q18,0,cold,pass,1544,100
q18,1,warm,pass,1532,100
q18,2,warm,pass,1537,100
q18,3,warm,pass,1568,100
q19,0,cold,pass,1041,1
q19,1,warm,pass,1030,1
q19,2,warm,pass,1029,1
q19,3,warm,pass,1027,1
q20,0,cold,pass,1446,17971
q20,1,warm,pass,1433,17971
q20,2,warm,pass,1452,17971
q20,3,warm,pass,1431,17971
q21,0,cold,pass,2691,100
q21,1,warm,pass,2637,100
q21,2,warm,pass,2637,100
q21,3,warm,pass,2681,100
q22,0,cold,pass,421,7
q22,1,warm,pass,403,7
q22,2,warm,pass,399,7
q22,3,warm,pass,386,7
