query,run,phase,status,ms,rows
q01,0,cold,pass,4548,4
q01,1,warm,pass,4007,4
q01,2,warm,pass,3965,4
q01,3,warm,pass,4008,4
q02,0,cold,pass,629,100
q02,1,warm,pass,533,100
q02,2,warm,pass,524,100
q02,3,warm,pass,509,100
q03,0,cold,pass,1070,10
q03,1,warm,pass,1050,10
q03,2,warm,pass,1052,10
q03,3,warm,pass,1017,10
q04,0,cold,pass,784,5
q04,1,warm,pass,725,5
q04,2,warm,pass,719,5
q04,3,warm,pass,718,5
q05,0,cold,pass,1934,5
q05,1,warm,pass,1964,5
q05,2,warm,pass,1960,5
q05,3,warm,pass,1959,5
q06,0,cold,pass,818,1
q06,1,warm,pass,786,1
q06,2,warm,pass,781,1
q06,3,warm,pass,784,1
q07,0,cold,pass,1423,4
q07,1,warm,pass,1411,4
q07,2,warm,pass,1406,4
q07,3,warm,pass,1412,4
q10,0,cold,pass,1282,20
q10,1,warm,pass,1202,20
q10,2,warm,pass,1338,20
q10,3,warm,pass,1300,20
q12,0,cold,pass,846,2
q12,1,warm,pass,822,2
q12,2,warm,pass,822,2
q12,3,warm,pass,818,2
q13,0,cold,pass,879,45
q13,1,warm,pass,863,45
q13,2,warm,pass,801,45
q13,3,warm,pass,864,45
q14,0,cold,pass,1052,1
q14,1,warm,pass,1044,1
q14,2,warm,pass,1046,1
q14,3,warm,pass,1046,1
q15,0,cold,wedge,1952,0
q15,1,warm,pass,1930,1
q15,2,warm,wedge,1919,0
q16,0,cold,pass,969,27840
q16,1,warm,pass,266,27840
q16,2,warm,pass,258,27840
q16,3,warm,pass,254,27840
q17,0,cold,pass,2394,1
q17,1,warm,pass,2251,1
q17,2,warm,pass,2279,1
q17,3,warm,pass,2253,1
q18,0,cold,pass,1591,100
q18,1,warm,pass,1549,100
q18,2,warm,pass,1536,100
q18,3,warm,pass,1582,100
q19,0,cold,pass,1096,1
q19,1,warm,pass,1076,1
q19,2,warm,pass,1075,1
q19,3,warm,pass,1074,1
q20,0,cold,pass,1473,17971
q20,1,warm,pass,1453,17971
q20,2,warm,pass,1458,17971
q20,3,warm,pass,1452,17971
q21,0,cold,pass,2677,100
q21,1,warm,pass,2690,100
q21,2,warm,pass,2618,100
q21,3,warm,pass,2670,100
q22,0,cold,pass,412,7
q22,1,warm,pass,399,7
q22,2,warm,pass,395,7
q22,3,warm,pass,388,7
