query,run,phase,status,ms,rows
q01,0,cold,pass,18222,4
q01,1,warm,pass,17327,4
q01,2,warm,pass,17227,4
q02,0,cold,pass,3044,100
q02,1,warm,pass,2931,100
q02,2,warm,pass,2990,100
q03,0,cold,pass,8193,10
q03,1,warm,pass,7739,10
q03,2,warm,pass,7706,10
q04,0,cold,pass,11842,5
q04,1,warm,pass,4849,5
q04,2,warm,pass,4974,5
q05,0,cold,refused,3634,0
q05,1,warm,refused,4895,0
q06,0,cold,pass,6219,1
q06,1,warm,pass,5387,1
q06,2,warm,pass,5385,1
q07,0,cold,refused,111730,0
q07,1,warm,refused,288576,0
q08,0,cold,refused,7501,0
q08,1,warm,refused,8095,0
q09,0,cold,refused,6965,0
q09,1,warm,refused,6290,0
q10,0,cold,pass,11644,20
q10,1,warm,pass,10632,20
q10,2,warm,pass,10335,20
q11,0,cold,wedge,4596,0
q11,1,warm,wedge,4570,0
q12,0,cold,pass,5684,2
q12,1,warm,pass,4815,2
q12,2,warm,pass,4806,2
q13,0,cold,pass,6115,40
q13,1,warm,pass,5891,40
q13,2,warm,pass,5751,40
q14,0,cold,pass,6659,1
q14,1,warm,pass,6560,1
q14,2,warm,pass,6638,1
q15,0,cold,pass,13448,1
q15,1,warm,pass,13357,1
q15,2,warm,pass,13320,1
q16,0,cold,pass,1886,27840
q16,1,warm,pass,1782,27840
q16,2,warm,pass,1822,27840
q17,0,cold,refused,10929,0
q17,1,warm,refused,11316,0
q18,0,cold,refused,7886,0
q18,1,warm,refused,7233,0
q19,0,cold,pass,7800,1
q19,1,warm,pass,7022,1
q19,2,warm,pass,7052,1
q20,0,cold,pass,8558,72343
q20,1,warm,pass,8236,72343
q20,2,warm,pass,8369,72343
q21,0,cold,refused,13597,0
q21,1,warm,refused,120464,0
q22,0,cold,pass,2984,7
q22,1,warm,pass,2234,7
q22,2,warm,pass,2190,7
