query,run,phase,status,ms,rows
q01,0,cold,pass,18400,4
q01,1,warm,pass,16931,4
q02,0,cold,pass,3821,100
q02,1,warm,pass,3003,100
q03,0,cold,pass,8673,10
q03,1,warm,pass,7730,10
q04,0,cold,pass,12673,5
q04,1,warm,pass,4800,5
q05,0,cold,pass,22327,5
q05,1,warm,pass,20423,5
q06,0,cold,pass,6081,1
q06,1,warm,pass,5394,1
q07,0,cold,pass,83302,4
q07,1,warm,pass,289294,4
q08,0,cold,refused,10910,0
q08,1,warm,refused,10226,0
q09,0,cold,refused,10193,0
q09,1,warm,refused,9326,0
q10,0,cold,pass,10409,20
q10,1,warm,pass,9474,20
q11,0,cold,wedge,5280,0
q11,1,warm,wedge,4626,0
q12,0,cold,pass,5602,2
q12,1,warm,pass,4789,2
q13,0,cold,pass,7231,40
q13,1,warm,pass,5944,40
q14,0,cold,pass,7424,1
q14,1,warm,pass,6649,1
q15,0,cold,pass,14154,1
q15,1,warm,pass,13341,1
q16,0,cold,pass,2682,27840
q16,1,warm,pass,1805,27840
q17,0,cold,pass,15118,1
q17,1,warm,pass,13098,1
q18,0,cold,pass,10438,100
q18,1,warm,pass,9369,100
q19,0,cold,pass,7804,1
q19,1,warm,pass,7017,1
q20,0,cold,pass,9001,72343
q20,1,warm,pass,8170,72343
q21,0,cold,refused,617523,0
q21,1,warm,refused,120559,0
q22,0,cold,pass,2998,7
q22,1,warm,pass,2243,7
