query,query_time_sec
1,0.002
2,0.0036666666666666666
3,0.005333333333333333
4,0.004333333333333334
5,0.011000000000000001
6,0.03133333333333333
7,0.0036666666666666666
8,0.005333333333333333
9,0.19400000000000003
10,0.206
11,0.025666666666666667
12,0.024000000000000004
13,0.058666666666666666
14,0.501
15,0.05633333333333334
16,0.03266666666666667
17,0.07666666666666666
18,0.04466666666666667
19,0.08800000000000001
20,0.002
21,-1.0
22,0.04566666666666667
23,-1.0
24,-1.0
25,0.01933333333333333
26,0.4763333333333333
27,0.084
28,-1.0
29,-1.0
30,0.04833333333333334
31,0.015333333333333332
32,0.022333333333333334
33,0.15266666666666664
34,-1.0
35,-1.0
36,0.050666666666666665
37,0.008
38,0.005
39,0.0033333333333333335
40,-1.0
41,0.0036666666666666666
42,0.0030000000000000005
43,0.004333333333333334
