index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks
0,B1_tpch_q1_iter1_iter1,7849.911,7840.654,-0.12,1132,executor_threads,0,0
1,B1_tpch_q1_iter2_iter1,7925.185,7917.829,-0.09,1132,executor_threads,0,0
2,B1_tpch_q1_iter3_iter1,7851.457,7842.69,-0.11,1132,executor_threads,0,0
3,B1_tpch_q1_iter4_iter1,7839.333,7832.053,-0.09,1132,executor_threads,0,0
4,B1_tpch_q9_iter1_iter1,12468.689,12464.29,-0.04,1636,executor_threads,0,0
5,B1_tpch_q9_iter2_iter1,12619.046,12612.607,-0.05,1642,executor_threads,0,0
6,B1_tpch_q9_iter3_iter1,12486.162,12477.747,-0.07,1642,executor_threads,0,0
7,B1_tpch_q9_iter4_iter1,12500.386,12494.721,-0.05,1678,executor_threads,0,0
8,B1_tpch_q13_iter1_iter1,5439.66,5446.09,0.12,532,executor_threads,0,0
9,B1_tpch_q13_iter2_iter1,5436.695,5432.777,-0.07,532,executor_threads,0,0
10,B1_tpch_q13_iter3_iter1,5500.0,5503.325,0.06,532,executor_threads,0,0
11,B1_tpch_q13_iter4_iter1,5455.519,5452.147,-0.06,532,executor_threads,0,0
12,B1_tpch_q19_iter1_iter1,8361.127,8360.857,-0.0,1316,executor_threads,0,0
13,B1_tpch_q19_iter2_iter1,8405.035,8404.761,-0.0,1316,executor_threads,0,0
14,B1_tpch_q19_iter3_iter1,8452.162,8451.828,-0.0,1316,executor_threads,0,0
15,B1_tpch_q19_iter4_iter1,8441.199,8440.912,-0.0,1316,executor_threads,0,0
16,B1_tpch_q21_iter1_iter1,17470.661,17466.972,-0.02,2339,executor_threads,0,0
17,B1_tpch_q21_iter2_iter1,17604.144,17597.565,-0.04,2408,executor_threads,0,0
18,B1_tpch_q21_iter3_iter1,17450.509,17447.001,-0.02,2330,executor_threads,0,0
19,B1_tpch_q21_iter4_iter1,17318.924,17315.331,-0.02,2318,executor_threads,0,0
