index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks
0,E1-50_tpch_q1_iter1_iter1,9885.086,9875.83,-0.09,1132,executor_threads,0,0
1,E1-50_tpch_q1_iter2_iter1,9723.601,9716.212,-0.08,1132,executor_threads,0,0
2,E1-50_tpch_q1_iter3_iter1,9719.442,9712.354,-0.07,1132,executor_threads,0,0
3,E1-50_tpch_q1_iter4_iter1,9694.029,9686.873,-0.07,1132,executor_threads,0,0
4,E1-50_tpch_q9_iter1_iter1,13859.683,13855.184,-0.03,1675,executor_threads,0,0
5,E1-50_tpch_q9_iter2_iter1,13914.93,13922.386,0.05,1681,executor_threads,0,0
6,E1-50_tpch_q9_iter3_iter1,14064.949,14070.885,0.04,1687,executor_threads,0,0
7,E1-50_tpch_q9_iter4_iter1,13930.243,13917.454,-0.09,1669,executor_threads,0,0
8,E1-50_tpch_q13_iter1_iter1,6640.451,6658.16,0.27,532,executor_threads,0,0
9,E1-50_tpch_q13_iter2_iter1,6597.154,6595.748,-0.02,532,executor_threads,0,0
10,E1-50_tpch_q13_iter3_iter1,6653.391,6660.549,0.11,532,executor_threads,0,0
11,E1-50_tpch_q13_iter4_iter1,6615.972,6617.37,0.02,532,executor_threads,0,0
12,E1-50_tpch_q19_iter1_iter1,9092.716,9092.131,-0.01,1316,executor_threads,0,0
13,E1-50_tpch_q19_iter2_iter1,9148.429,9147.786,-0.01,1316,executor_threads,0,0
14,E1-50_tpch_q19_iter3_iter1,9090.909,9090.5,-0.0,1316,executor_threads,0,0
15,E1-50_tpch_q19_iter4_iter1,9102.516,9102.228,-0.0,1316,executor_threads,0,0
16,E1-50_tpch_q21_iter1_iter1,20315.346,20328.988,0.07,2324,executor_threads,0,0
17,E1-50_tpch_q21_iter2_iter1,20905.68,20902.079,-0.02,2357,executor_threads,0,0
18,E1-50_tpch_q21_iter3_iter1,20475.177,20471.619,-0.02,2381,executor_threads,0,0
19,E1-50_tpch_q21_iter4_iter1,20534.435,20535.553,0.01,2408,executor_threads,0,0
