index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks
0,P1a_tpch_q1_iter1_iter1,8311.706,8301.708,-0.12,1132,executor_threads,0,0
1,P1a_tpch_q1_iter2_iter1,7826.424,7819.425,-0.09,1132,executor_threads,0,0
2,P1a_tpch_q1_iter3_iter1,7813.915,7806.634,-0.09,1132,executor_threads,0,0
3,P1a_tpch_q3_iter1_iter1,7966.958,7958.696,-0.1,1715,executor_threads,0,0
4,P1a_tpch_q3_iter2_iter1,7731.888,7720.647,-0.15,1685,executor_threads,0,0
5,P1a_tpch_q3_iter3_iter1,7632.509,7623.255,-0.12,1664,executor_threads,0,0
6,P1a_tpch_q5_iter1_iter1,9460.923,9494.801,0.36,2380,executor_threads,0,0
7,P1a_tpch_q5_iter2_iter1,9343.059,9335.664,-0.08,2356,executor_threads,0,0
8,P1a_tpch_q5_iter3_iter1,9358.983,9355.555,-0.04,2356,executor_threads,0,0
9,P1a_tpch_q6_iter1_iter1,5271.506,5269.691,-0.03,334,executor_threads,0,0
10,P1a_tpch_q6_iter2_iter1,5234.168,5232.85,-0.03,334,executor_threads,0,0
11,P1a_tpch_q6_iter3_iter1,5209.425,5208.194,-0.02,334,executor_threads,0,0
12,P1a_tpch_q9_iter1_iter1,12574.636,12568.434,-0.05,1642,executor_threads,0,0
13,P1a_tpch_q9_iter2_iter1,12509.836,12498.806,-0.09,1660,executor_threads,0,0
14,P1a_tpch_q9_iter3_iter1,12511.401,12505.511,-0.05,1675,executor_threads,0,0
15,P1a_tpch_q13_iter1_iter1,5683.698,5677.551,-0.11,532,executor_threads,0,0
16,P1a_tpch_q13_iter2_iter1,5455.673,5451.094,-0.08,532,executor_threads,0,0
17,P1a_tpch_q13_iter3_iter1,5428.094,5423.586,-0.08,532,executor_threads,0,0
18,P1a_tpch_q18_iter1_iter1,5159.171,5158.345,-0.02,1066,executor_threads,0,0
19,P1a_tpch_q18_iter2_iter1,5209.817,5208.509,-0.03,1066,executor_threads,0,0
20,P1a_tpch_q18_iter3_iter1,5152.499,5151.361,-0.02,1066,executor_threads,0,0
21,P1a_tpch_q19_iter1_iter1,8367.115,8366.845,-0.0,1316,executor_threads,0,0
22,P1a_tpch_q19_iter2_iter1,8419.151,8418.874,-0.0,1316,executor_threads,0,0
23,P1a_tpch_q19_iter3_iter1,8437.041,8436.755,-0.0,1316,executor_threads,0,0
24,P1a_tpch_q21_iter1_iter1,17331.03,17325.799,-0.03,2297,executor_threads,0,0
25,P1a_tpch_q21_iter2_iter1,17373.703,17367.263,-0.04,2321,executor_threads,0,0
26,P1a_tpch_q21_iter3_iter1,17505.133,17498.79,-0.04,2375,executor_threads,0,0
