index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks
0,P1b_tpch_q1_iter1_iter1,7877.658,7868.557,-0.12,1132,executor_threads,0,0
1,P1b_tpch_q1_iter2_iter1,7826.974,7820.317,-0.09,1132,executor_threads,0,0
2,P1b_tpch_q1_iter3_iter1,7872.721,7863.81,-0.11,1132,executor_threads,0,0
3,P1b_tpch_q3_iter1_iter1,7692.905,7684.704,-0.11,1676,executor_threads,0,0
4,P1b_tpch_q3_iter2_iter1,7677.08,7669.998,-0.09,1664,executor_threads,0,0
5,P1b_tpch_q3_iter3_iter1,7746.593,7740.697,-0.08,1709,executor_threads,0,0
6,P1b_tpch_q5_iter1_iter1,9507.082,9532.214,0.26,2383,executor_threads,0,0
7,P1b_tpch_q5_iter2_iter1,9404.919,9402.163,-0.03,2347,executor_threads,0,0
8,P1b_tpch_q5_iter3_iter1,9376.406,9367.068,-0.1,2368,executor_threads,0,0
9,P1b_tpch_q6_iter1_iter1,5267.353,5266.002,-0.03,334,executor_threads,0,0
10,P1b_tpch_q6_iter2_iter1,5255.545,5253.901,-0.03,334,executor_threads,0,0
11,P1b_tpch_q6_iter3_iter1,5184.448,5183.157,-0.02,334,executor_threads,0,0
12,P1b_tpch_q9_iter1_iter1,12474.751,12477.43,0.02,1696,executor_threads,0,0
13,P1b_tpch_q9_iter2_iter1,12525.028,12524.951,-0.0,1651,executor_threads,0,0
14,P1b_tpch_q9_iter3_iter1,12578.21,12565.259,-0.1,1660,executor_threads,0,0
15,P1b_tpch_q13_iter1_iter1,5589.92,5585.541,-0.08,532,executor_threads,0,0
16,P1b_tpch_q13_iter2_iter1,5416.662,5411.521,-0.09,532,executor_threads,0,0
17,P1b_tpch_q13_iter3_iter1,5442.537,5435.589,-0.13,532,executor_threads,0,0
18,P1b_tpch_q18_iter1_iter1,5325.16,5324.387,-0.01,1066,executor_threads,0,0
19,P1b_tpch_q18_iter2_iter1,5158.326,5157.461,-0.02,1066,executor_threads,0,0
20,P1b_tpch_q18_iter3_iter1,5017.171,5016.483,-0.01,1066,executor_threads,0,0
21,P1b_tpch_q19_iter1_iter1,8359.349,8359.093,-0.0,1316,executor_threads,0,0
22,P1b_tpch_q19_iter2_iter1,8390.923,8390.624,-0.0,1316,executor_threads,0,0
23,P1b_tpch_q19_iter3_iter1,8440.259,8439.716,-0.01,1316,executor_threads,0,0
24,P1b_tpch_q21_iter1_iter1,17393.555,17386.768,-0.04,2309,executor_threads,0,0
25,P1b_tpch_q21_iter2_iter1,17431.761,17428.609,-0.02,2318,executor_threads,0,0
26,P1b_tpch_q21_iter3_iter1,17383.39,17379.906,-0.02,2297,executor_threads,0,0
