index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks,spill_mode
0,S-BASE_tpch_q1_iter1_iter1,506.453,505.8,-0.13,76,executor_threads,0,0,off
1,S-BASE_tpch_q1_iter2_iter1,473.368,472.739,-0.13,76,executor_threads,0,0,off
2,S-BASE_tpch_q1_iter3_iter1,466.229,465.565,-0.14,76,executor_threads,0,0,off
3,S-BASE_tpch_q2_iter1_iter1,94.274,94.1,-0.18,67,dependencies,0,0,off
4,S-BASE_tpch_q2_iter2_iter1,51.814,51.641,-0.33,67,dependencies,0,0,off
5,S-BASE_tpch_q2_iter3_iter1,51.009,50.83,-0.35,67,dependencies,0,0,off
6,S-BASE_tpch_q3_iter1_iter1,216.69,216.517,-0.08,64,executor_threads,0,0,off
7,S-BASE_tpch_q3_iter2_iter1,207.427,207.185,-0.12,64,executor_threads,0,0,off
8,S-BASE_tpch_q3_iter3_iter1,206.136,205.976,-0.08,64,executor_threads,0,0,off
9,S-BASE_tpch_q4_iter1_iter1,175.941,175.72,-0.13,65,executor_threads,0,0,off
10,S-BASE_tpch_q4_iter2_iter1,168.534,168.324,-0.12,65,executor_threads,0,0,off
11,S-BASE_tpch_q4_iter3_iter1,168.438,168.229,-0.12,65,executor_threads,0,0,off
12,S-BASE_tpch_q5_iter1_iter1,237.583,237.419,-0.07,96,executor_threads,0,0,off
13,S-BASE_tpch_q5_iter2_iter1,227.917,227.666,-0.11,93,executor_threads,0,0,off
14,S-BASE_tpch_q5_iter3_iter1,227.565,227.295,-0.12,93,executor_threads,0,0,off
15,S-BASE_tpch_q6_iter1_iter1,57.072,56.935,-0.24,24,executor_threads,0,0,off
16,S-BASE_tpch_q6_iter2_iter1,49.545,49.462,-0.17,24,executor_threads,0,0,off
17,S-BASE_tpch_q6_iter3_iter1,49.467,49.368,-0.2,24,executor_threads,0,0,off
18,S-BASE_tpch_q7_iter1_iter1,257.042,256.841,-0.08,88,executor_threads,0,0,off
19,S-BASE_tpch_q7_iter2_iter1,226.99,226.822,-0.07,88,executor_threads,0,0,off
20,S-BASE_tpch_q7_iter3_iter1,227.351,227.178,-0.08,88,executor_threads,0,0,off
21,S-BASE_tpch_q8_iter1_iter1,192.311,192.032,-0.14,102,executor_threads,0,0,off
22,S-BASE_tpch_q8_iter2_iter1,182.069,181.791,-0.15,102,executor_threads,0,0,off
23,S-BASE_tpch_q8_iter3_iter1,182.505,182.195,-0.17,102,executor_threads,0,0,off
24,S-BASE_tpch_q9_iter1_iter1,843.624,840.563,-0.36,137,executor_threads,0,0,off
25,S-BASE_tpch_q9_iter2_iter1,834.306,833.879,-0.05,137,executor_threads,0,0,off
26,S-BASE_tpch_q9_iter3_iter1,849.282,849.073,-0.02,134,executor_threads,0,0,off
27,S-BASE_tpch_q10_iter1_iter1,237.934,237.76,-0.07,78,executor_threads,0,0,off
28,S-BASE_tpch_q10_iter2_iter1,233.978,233.827,-0.06,78,executor_threads,0,0,off
29,S-BASE_tpch_q10_iter3_iter1,233.748,233.599,-0.06,78,executor_threads,0,0,off
30,S-BASE_tpch_q11_iter1_iter1,201.518,201.312,-0.1,51,dependencies,0,0,off
31,S-BASE_tpch_q11_iter2_iter1,196.242,196.054,-0.1,51,dependencies,0,0,off
32,S-BASE_tpch_q11_iter3_iter1,196.33,196.136,-0.1,51,dependencies,0,0,off
33,S-BASE_tpch_q12_iter1_iter1,188.361,188.226,-0.07,60,executor_threads,0,0,off
34,S-BASE_tpch_q12_iter2_iter1,166.233,166.082,-0.09,60,executor_threads,0,0,off
35,S-BASE_tpch_q12_iter3_iter1,166.038,165.888,-0.09,60,executor_threads,0,0,off
36,S-BASE_tpch_q13_iter1_iter1,766.466,766.276,-0.02,38,executor_threads,0,0,off
37,S-BASE_tpch_q13_iter2_iter1,765.335,765.154,-0.02,38,executor_threads,0,0,off
38,S-BASE_tpch_q13_iter3_iter1,767.487,767.307,-0.02,38,executor_threads,0,0,off
39,S-BASE_tpch_q14_iter1_iter1,76.437,76.184,-0.33,45,executor_threads,0,0,off
40,S-BASE_tpch_q14_iter2_iter1,76.131,76.002,-0.17,45,executor_threads,0,0,off
41,S-BASE_tpch_q14_iter3_iter1,76.036,75.851,-0.24,45,executor_threads,0,0,off
42,S-BASE_tpch_q15_iter1_iter1,78.122,77.753,-0.47,59,executor_threads,0,0,off
43,S-BASE_tpch_q15_iter2_iter1,72.876,72.571,-0.42,59,executor_threads,0,0,off
44,S-BASE_tpch_q15_iter3_iter1,72.939,72.515,-0.58,59,executor_threads,0,0,off
45,S-BASE_tpch_q16_iter1_iter1,301.274,301.089,-0.06,20,dependencies,0,0,off
46,S-BASE_tpch_q16_iter2_iter1,275.983,275.792,-0.07,20,dependencies,0,0,off
47,S-BASE_tpch_q16_iter3_iter1,276.18,275.989,-0.07,20,dependencies,0,0,off
48,S-BASE_tpch_q17_iter1_iter1,175.906,175.738,-0.1,86,executor_threads,0,0,off
49,S-BASE_tpch_q17_iter2_iter1,155.156,154.912,-0.16,86,executor_threads,0,0,off
50,S-BASE_tpch_q17_iter3_iter1,156.915,156.739,-0.11,86,executor_threads,0,0,off
51,S-BASE_tpch_q18_iter1_iter1,855.339,855.124,-0.03,82,executor_threads,0,0,off
52,S-BASE_tpch_q18_iter2_iter1,854.852,854.714,-0.02,82,executor_threads,0,0,off
53,S-BASE_tpch_q18_iter3_iter1,854.942,854.822,-0.01,82,executor_threads,0,0,off
54,S-BASE_tpch_q19_iter1_iter1,218.401,217.917,-0.22,87,executor_threads,0,0,off
55,S-BASE_tpch_q19_iter2_iter1,184.86,184.521,-0.18,87,executor_threads,0,0,off
56,S-BASE_tpch_q19_iter3_iter1,185.177,184.682,-0.27,87,executor_threads,0,0,off
57,S-BASE_tpch_q20_iter1_iter1,138.385,138.236,-0.11,73,executor_threads,0,0,off
58,S-BASE_tpch_q20_iter2_iter1,131.689,131.543,-0.11,73,executor_threads,0,0,off
59,S-BASE_tpch_q20_iter3_iter1,131.958,131.807,-0.11,73,executor_threads,0,0,off
60,S-BASE_tpch_q21_iter1_iter1,621.707,621.551,-0.03,146,executor_threads,0,0,off
61,S-BASE_tpch_q21_iter2_iter1,618.047,617.888,-0.03,146,executor_threads,0,0,off
62,S-BASE_tpch_q21_iter3_iter1,619.949,619.783,-0.03,146,executor_threads,0,0,off
63,S-BASE_tpch_q22_iter1_iter1,126.804,126.613,-0.15,31,dependencies,0,0,off
64,S-BASE_tpch_q22_iter2_iter1,107.233,107.05,-0.17,31,dependencies,0,0,off
65,S-BASE_tpch_q22_iter3_iter1,107.319,107.138,-0.17,31,dependencies,0,0,off
