row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
S-M50Pf,1,gpu_compute=0.5,655.7,469.2,executor_threads,0,2,100.0
S-M50Pf,2,gpu_compute=0.5,60.5,51.2,gpu_device,0,2,100.0
S-M50Pf,3,gpu_compute=0.5,375.9,206.6,gpu_device,0,2,100.0
S-M50Pf,4,gpu_compute=0.5,333.1,168.3,gpu_device,0,2,100.0
S-M50Pf,5,gpu_compute=0.5,443.8,227.5,gpu_device,0,2,100.0
S-M50Pf,6,gpu_compute=0.5,95.6,49.4,gpu_device,0,2,100.0
S-M50Pf,7,gpu_compute=0.5,407.1,227.0,gpu_device,0,2,100.0
S-M50Pf,8,gpu_compute=0.5,370.4,182.0,gpu_device,0,2,100.0
S-M50Pf,9,gpu_compute=0.5,1671.8,841.5,gpu_device,0,2,100.0
S-M50Pf,10,gpu_compute=0.5,436.0,233.7,gpu_device,0,2,100.0
S-M50Pf,11,gpu_compute=0.5,413.7,196.1,gpu_device,0,2,100.0
S-M50Pf,12,gpu_compute=0.5,328.3,166.0,gpu_device,0,2,100.0
S-M50Pf,13,gpu_compute=0.5,1523.0,766.2,gpu_device,0,2,100.0
S-M50Pf,14,gpu_compute=0.5,146.7,75.9,gpu_device,0,2,100.0
S-M50Pf,15,gpu_compute=0.5,151.7,72.5,gpu_device,0,2,100.0
S-M50Pf,16,gpu_compute=0.5,498.3,275.9,gpu_device,0,2,100.0
S-M50Pf,17,gpu_compute=0.5,370.4,155.8,gpu_device,0,2,100.0
S-M50Pf,18,gpu_compute=0.5,1668.5,854.8,gpu_device,0,2,100.0
S-M50Pf,19,gpu_compute=0.5,333.3,184.6,executor_threads,0,2,100.0
S-M50Pf,20,gpu_compute=0.5,239.6,131.7,gpu_device,0,2,100.0
S-M50Pf,21,gpu_compute=0.5,1174.6,618.8,gpu_device,0,2,100.0
S-M50Pf,22,gpu_compute=0.5,181.2,107.1,gpu_device,0,2,100.0
