index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks,spill_mode
0,S-M50_tpch_q1_iter1_iter1,912.466,911.954,-0.06,76,executor_threads,0,0,off
1,S-M50_tpch_q1_iter2_iter1,886.243,885.599,-0.07,76,executor_threads,0,0,off
2,S-M50_tpch_q1_iter3_iter1,882.25,881.939,-0.04,76,executor_threads,0,0,off
3,S-M50_tpch_q2_iter1_iter1,90.957,90.781,-0.19,67,dependencies,0,0,off
4,S-M50_tpch_q2_iter2_iter1,71.629,71.428,-0.28,67,dependencies,0,0,off
5,S-M50_tpch_q2_iter3_iter1,71.418,71.236,-0.25,67,dependencies,0,0,off
6,S-M50_tpch_q3_iter1_iter1,391.435,391.172,-0.07,64,executor_threads,0,0,off
7,S-M50_tpch_q3_iter2_iter1,365.826,365.667,-0.04,64,executor_threads,0,0,off
8,S-M50_tpch_q3_iter3_iter1,366.961,366.712,-0.07,64,executor_threads,0,0,off
9,S-M50_tpch_q4_iter1_iter1,311.171,310.936,-0.08,65,executor_threads,0,0,off
10,S-M50_tpch_q4_iter2_iter1,309.224,308.991,-0.08,65,executor_threads,0,0,off
11,S-M50_tpch_q4_iter3_iter1,309.096,308.886,-0.07,65,executor_threads,0,0,off
12,S-M50_tpch_q5_iter1_iter1,430.05,429.901,-0.03,93,executor_threads,0,0,off
13,S-M50_tpch_q5_iter2_iter1,419.551,419.35,-0.05,93,executor_threads,0,0,off
14,S-M50_tpch_q5_iter3_iter1,425.465,425.189,-0.06,93,executor_threads,0,0,off
15,S-M50_tpch_q6_iter1_iter1,120.62,120.477,-0.12,24,executor_threads,0,0,off
16,S-M50_tpch_q6_iter2_iter1,91.472,91.378,-0.1,24,executor_threads,0,0,off
17,S-M50_tpch_q6_iter3_iter1,91.171,91.015,-0.17,24,executor_threads,0,0,off
18,S-M50_tpch_q7_iter1_iter1,428.771,428.587,-0.04,88,executor_threads,0,0,off
19,S-M50_tpch_q7_iter2_iter1,409.943,409.758,-0.05,88,executor_threads,0,0,off
20,S-M50_tpch_q7_iter3_iter1,409.392,409.213,-0.04,88,executor_threads,0,0,off
21,S-M50_tpch_q8_iter1_iter1,332.363,332.065,-0.09,102,executor_threads,0,0,off
22,S-M50_tpch_q8_iter2_iter1,325.281,325.008,-0.08,102,executor_threads,0,0,off
23,S-M50_tpch_q8_iter3_iter1,322.953,322.679,-0.08,102,executor_threads,0,0,off
24,S-M50_tpch_q9_iter1_iter1,1521.565,1521.065,-0.03,137,executor_threads,0,0,off
25,S-M50_tpch_q9_iter2_iter1,1518.543,1517.876,-0.04,140,executor_threads,0,0,off
26,S-M50_tpch_q9_iter3_iter1,1510.807,1510.318,-0.03,137,executor_threads,0,0,off
27,S-M50_tpch_q10_iter1_iter1,415.592,415.447,-0.03,78,executor_threads,0,0,off
28,S-M50_tpch_q10_iter2_iter1,415.54,415.366,-0.04,78,executor_threads,0,0,off
29,S-M50_tpch_q10_iter3_iter1,414.7,414.54,-0.04,78,executor_threads,0,0,off
30,S-M50_tpch_q11_iter1_iter1,375.761,375.591,-0.05,51,dependencies,0,0,off
31,S-M50_tpch_q11_iter2_iter1,371.277,371.109,-0.05,51,dependencies,0,0,off
32,S-M50_tpch_q11_iter3_iter1,371.701,371.559,-0.04,51,dependencies,0,0,off
33,S-M50_tpch_q12_iter1_iter1,329.628,329.472,-0.05,60,executor_threads,0,0,off
34,S-M50_tpch_q12_iter2_iter1,304.913,304.773,-0.05,60,executor_threads,0,0,off
35,S-M50_tpch_q12_iter3_iter1,305.52,305.347,-0.06,60,executor_threads,0,0,off
36,S-M50_tpch_q13_iter1_iter1,1312.585,1312.353,-0.02,38,executor_threads,0,0,off
37,S-M50_tpch_q13_iter2_iter1,1311.751,1311.576,-0.01,38,executor_threads,0,0,off
38,S-M50_tpch_q13_iter3_iter1,1311.285,1311.099,-0.01,38,executor_threads,0,0,off
39,S-M50_tpch_q14_iter1_iter1,132.094,131.936,-0.12,45,executor_threads,0,0,off
40,S-M50_tpch_q14_iter2_iter1,132.364,132.158,-0.16,45,executor_threads,0,0,off
41,S-M50_tpch_q14_iter3_iter1,132.33,132.197,-0.1,45,executor_threads,0,0,off
42,S-M50_tpch_q15_iter1_iter1,121.376,121.041,-0.28,59,executor_threads,0,0,off
43,S-M50_tpch_q15_iter2_iter1,120.976,120.507,-0.39,59,executor_threads,0,0,off
44,S-M50_tpch_q15_iter3_iter1,120.657,120.405,-0.21,59,executor_threads,0,0,off
45,S-M50_tpch_q16_iter1_iter1,530.732,530.533,-0.04,20,dependencies,0,0,off
46,S-M50_tpch_q16_iter2_iter1,517.934,517.733,-0.04,20,dependencies,0,0,off
47,S-M50_tpch_q16_iter3_iter1,517.35,517.163,-0.04,20,dependencies,0,0,off
48,S-M50_tpch_q17_iter1_iter1,315.224,314.976,-0.08,86,executor_threads,0,0,off
49,S-M50_tpch_q17_iter2_iter1,301.969,301.782,-0.06,86,executor_threads,0,0,off
50,S-M50_tpch_q17_iter3_iter1,291.528,291.247,-0.1,86,executor_threads,0,0,off
51,S-M50_tpch_q18_iter1_iter1,1466.942,1466.756,-0.01,82,executor_threads,0,0,off
52,S-M50_tpch_q18_iter2_iter1,1467.105,1466.985,-0.01,82,executor_threads,0,0,off
53,S-M50_tpch_q18_iter3_iter1,1448.136,1447.947,-0.01,82,executor_threads,0,0,off
54,S-M50_tpch_q19_iter1_iter1,346.3,346.066,-0.07,87,executor_threads,0,0,off
55,S-M50_tpch_q19_iter2_iter1,312.953,312.502,-0.14,87,executor_threads,0,0,off
56,S-M50_tpch_q19_iter3_iter1,312.533,312.316,-0.07,87,executor_threads,0,0,off
57,S-M50_tpch_q20_iter1_iter1,240.914,240.759,-0.06,73,executor_threads,0,0,off
58,S-M50_tpch_q20_iter2_iter1,226.4,226.258,-0.06,73,executor_threads,0,0,off
59,S-M50_tpch_q20_iter3_iter1,232.898,232.746,-0.07,73,executor_threads,0,0,off
60,S-M50_tpch_q21_iter1_iter1,1093.447,1093.233,-0.02,146,executor_threads,0,0,off
61,S-M50_tpch_q21_iter2_iter1,1093.136,1092.899,-0.02,146,executor_threads,0,0,off
62,S-M50_tpch_q21_iter3_iter1,1090.64,1090.429,-0.02,146,executor_threads,0,0,off
63,S-M50_tpch_q22_iter1_iter1,202.311,202.132,-0.09,31,dependencies,0,0,off
64,S-M50_tpch_q22_iter2_iter1,186.803,186.626,-0.09,31,dependencies,0,0,off
65,S-M50_tpch_q22_iter3_iter1,186.879,186.707,-0.09,31,dependencies,0,0,off
