row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n
S-M50v0f,1,gpu_compute=0.5,936.9,469.2,executor_threads,0,2
S-M50v0f,2,gpu_compute=0.5,74.4,51.2,dependencies,0,2
S-M50v0f,3,gpu_compute=0.5,349.6,206.6,executor_threads,0,2
S-M50v0f,4,gpu_compute=0.5,321.0,168.3,executor_threads,0,2
S-M50v0f,5,gpu_compute=0.5,415.6,227.5,executor_threads,0,2
S-M50v0f,6,gpu_compute=0.5,97.8,49.4,executor_threads,0,2
S-M50v0f,7,gpu_compute=0.5,372.8,227.0,executor_threads,0,2
S-M50v0f,8,gpu_compute=0.5,312.7,182.0,executor_threads,0,2
S-M50v0f,9,gpu_compute=0.5,1435.5,841.5,executor_threads,0,2
S-M50v0f,10,gpu_compute=0.5,411.1,233.7,executor_threads,0,2
S-M50v0f,11,gpu_compute=0.5,387.4,196.1,dependencies|executor_threads,0,2
S-M50v0f,12,gpu_compute=0.5,316.1,166.0,executor_threads,0,2
S-M50v0f,13,gpu_compute=0.5,1526.8,766.2,executor_threads,0,2
S-M50v0f,14,gpu_compute=0.5,148.2,75.9,executor_threads,0,2
S-M50v0f,15,gpu_compute=0.5,142.0,72.5,executor_threads,0,2
S-M50v0f,16,gpu_compute=0.5,530.6,275.9,dependencies,0,2
S-M50v0f,17,gpu_compute=0.5,359.1,155.8,executor_threads,0,2
S-M50v0f,18,gpu_compute=0.5,1574.2,854.8,executor_threads,0,2
S-M50v0f,19,gpu_compute=0.5,365.1,184.6,executor_threads,0,2
S-M50v0f,20,gpu_compute=0.5,276.8,131.7,executor_threads,0,2
S-M50v0f,21,gpu_compute=0.5,943.8,618.8,executor_threads,0,2
S-M50v0f,22,gpu_compute=0.5,174.7,107.1,dependencies,0,2
