q,report,windows,serial_w1,serial_w2,dev_busy_w1_pct,dev_busy_w2_pct,union_busy_w2_pct,win2_ms,attr_kern_pct,attr_memcpy_pct,classified_pct,notes
1,SN1,2,0.325,0.286,288.1,343.5,98.2,464.9,100.0,100.0,0.6,""
2,SN2,2,0.993,0.988,21.9,40.5,40.0,57.6,100.0,100.0,17.2,""
3,SN3,2,0.967,0.965,91.5,96.3,92.9,208.5,100.0,100.0,6.5,""
4,SN4,2,0.969,0.969,92.7,97.4,94.4,170.9,100.0,100.0,3.0,""
5,SN5,2,0.970,0.969,90.0,94.3,91.4,231.4,100.0,100.0,5.2,""
6,SN6,2,0.902,0.900,87.0,101.7,91.5,51.2,100.0,100.0,8.5,""
7,SN7,2,0.963,0.963,81.1,90.2,86.8,236.3,100.0,100.0,6.1,""
8,SN8,2,0.953,0.953,85.4,91.7,87.5,184.1,35.9,27.3,5.3,""
9,SN8,2,0.986,0.986,97.2,97.3,96.0,855.6,35.9,27.3,5.3,""
10,SN9,2,0.958,0.957,90.7,92.6,88.6,238.3,100.0,100.0,3.5,""
11,SN10,2,0.993,0.993,89.8,92.4,91.7,198.0,100.0,100.0,0.2,""
12,SN11,2,0.915,0.918,87.8,100.2,92.0,168.4,100.0,100.0,6.7,""
13,SN12,2,0.992,0.992,99.4,99.7,98.9,768.3,100.0,97.3,2.5,""
14,SN13,2,0.961,0.958,92.8,93.8,89.9,77.7,100.0,100.0,10.0,""
15,SN14,2,0.908,0.905,89.7,96.3,87.1,75.4,100.0,100.0,6.4,""
16,SN15,2,0.995,0.995,85.6,94.1,93.7,279.1,100.0,100.0,8.6,""
17,SN16,2,0.953,0.952,85.9,98.1,93.4,157.7,44.8,15.8,4.7,""
18,SN16,2,0.990,0.989,97.2,97.7,96.7,858.1,44.8,15.8,4.7,""
19,SN16,2,0.912,0.912,69.7,82.2,75.0,193.2,44.8,15.8,4.7,""
20,SN17,2,0.966,0.965,81.3,86.7,83.7,135.5,100.0,100.0,3.7,""
21,SN18,2,0.978,0.979,97.6,98.3,96.2,625.0,100.0,100.0,20.0,""
22,SN19,2,1.000,1.000,73.8,85.8,85.8,110.1,100.0,100.0,4.0,""
