index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks,spill_mode
0,S-NSYS_tpch_q1_iter1_iter1,498.771,498.309,-0.09,76,executor_threads,0,0,off
1,S-NSYS_tpch_q1_iter2_iter1,464.962,464.647,-0.07,76,executor_threads,0,0,off
2,S-NSYS_tpch_q2_iter1_iter1,106.503,106.303,-0.19,67,dependencies,0,0,off
3,S-NSYS_tpch_q2_iter2_iter1,57.594,57.41,-0.32,67,dependencies,0,0,off
4,S-NSYS_tpch_q3_iter1_iter1,220.074,219.755,-0.14,64,executor_threads,0,0,off
5,S-NSYS_tpch_q3_iter2_iter1,208.517,208.249,-0.13,64,executor_threads,0,0,off
6,S-NSYS_tpch_q4_iter1_iter1,179.232,179.042,-0.11,65,executor_threads,0,0,off
7,S-NSYS_tpch_q4_iter2_iter1,170.955,170.57,-0.23,65,executor_threads,0,0,off
8,S-NSYS_tpch_q5_iter1_iter1,242.789,242.61,-0.07,93,executor_threads,0,0,off
9,S-NSYS_tpch_q5_iter2_iter1,231.381,231.215,-0.07,93,executor_threads,0,0,off
10,S-NSYS_tpch_q6_iter1_iter1,59.793,59.643,-0.25,24,executor_threads,0,0,off
11,S-NSYS_tpch_q6_iter2_iter1,51.157,51.062,-0.19,24,executor_threads,0,0,off
12,S-NSYS_tpch_q7_iter1_iter1,262.09,261.896,-0.07,88,executor_threads,0,0,off
13,S-NSYS_tpch_q7_iter2_iter1,236.284,236.089,-0.08,88,executor_threads,0,0,off
14,S-NSYS_tpch_q8_iter1_iter1,198.056,197.702,-0.18,102,executor_threads,0,0,off
15,S-NSYS_tpch_q8_iter2_iter1,184.14,183.859,-0.15,102,executor_threads,0,0,off
16,S-NSYS_tpch_q9_iter1_iter1,842.739,842.526,-0.03,137,executor_threads,0,0,off
17,S-NSYS_tpch_q9_iter2_iter1,855.627,855.332,-0.03,137,executor_threads,0,0,off
18,S-NSYS_tpch_q10_iter1_iter1,243.231,243.067,-0.07,78,executor_threads,0,0,off
19,S-NSYS_tpch_q10_iter2_iter1,238.326,238.159,-0.07,78,executor_threads,0,0,off
20,S-NSYS_tpch_q11_iter1_iter1,203.055,202.891,-0.08,51,dependencies,0,0,off
21,S-NSYS_tpch_q11_iter2_iter1,197.982,197.811,-0.09,51,dependencies,0,0,off
22,S-NSYS_tpch_q12_iter1_iter1,193.099,192.951,-0.08,60,executor_threads,0,0,off
23,S-NSYS_tpch_q12_iter2_iter1,168.432,168.287,-0.09,60,executor_threads,0,0,off
24,S-NSYS_tpch_q13_iter1_iter1,770.744,770.531,-0.03,38,executor_threads,0,0,off
25,S-NSYS_tpch_q13_iter2_iter1,768.292,768.098,-0.03,38,executor_threads,0,0,off
26,S-NSYS_tpch_q14_iter1_iter1,78.46,78.306,-0.2,45,executor_threads,0,0,off
27,S-NSYS_tpch_q14_iter2_iter1,77.761,77.555,-0.26,45,executor_threads,0,0,off
28,S-NSYS_tpch_q15_iter1_iter1,80.78,80.503,-0.34,59,executor_threads,0,0,off
29,S-NSYS_tpch_q15_iter2_iter1,75.404,74.953,-0.6,59,executor_threads,0,0,off
30,S-NSYS_tpch_q16_iter1_iter1,306.662,306.474,-0.06,20,dependencies,0,0,off
31,S-NSYS_tpch_q16_iter2_iter1,279.09,278.898,-0.07,20,dependencies,0,0,off
32,S-NSYS_tpch_q17_iter1_iter1,181.417,181.132,-0.16,86,executor_threads,0,0,off
33,S-NSYS_tpch_q17_iter2_iter1,157.712,157.52,-0.12,86,executor_threads,0,0,off
34,S-NSYS_tpch_q18_iter1_iter1,858.525,858.396,-0.02,82,executor_threads,0,0,off
35,S-NSYS_tpch_q18_iter2_iter1,858.164,858.037,-0.01,82,executor_threads,0,0,off
36,S-NSYS_tpch_q19_iter1_iter1,228.996,228.76,-0.1,87,executor_threads,0,0,off
37,S-NSYS_tpch_q19_iter2_iter1,193.195,192.962,-0.12,87,executor_threads,0,0,off
38,S-NSYS_tpch_q20_iter1_iter1,142.757,142.597,-0.11,73,executor_threads,0,0,off
39,S-NSYS_tpch_q20_iter2_iter1,135.43,135.273,-0.12,73,executor_threads,0,0,off
40,S-NSYS_tpch_q21_iter1_iter1,627.952,627.755,-0.03,146,executor_threads,0,0,off
41,S-NSYS_tpch_q21_iter2_iter1,625.015,624.843,-0.03,146,executor_threads,0,0,off
42,S-NSYS_tpch_q22_iter1_iter1,128.227,128.051,-0.14,31,dependencies,0,0,off
43,S-NSYS_tpch_q22_iter2_iter1,110.159,109.973,-0.17,31,dependencies,0,0,off
