index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks,spill_mode
0,S-P3_tpch_q1_iter1_iter1,508.743,508.14,-0.12,76,executor_threads,0,0,off
1,S-P3_tpch_q1_iter2_iter1,460.473,459.87,-0.13,76,executor_threads,0,0,off
2,S-P3_tpch_q1_iter3_iter1,460.826,460.19,-0.14,76,executor_threads,0,0,off
3,S-P3_tpch_q2_iter1_iter1,71.083,70.907,-0.25,67,dependencies,0,0,off
4,S-P3_tpch_q2_iter2_iter1,51.174,50.994,-0.35,67,dependencies,0,0,off
5,S-P3_tpch_q2_iter3_iter1,51.213,51.053,-0.31,67,dependencies,0,0,off
6,S-P3_tpch_q3_iter1_iter1,231.145,230.958,-0.08,64,executor_threads,0,0,off
7,S-P3_tpch_q3_iter2_iter1,206.834,206.627,-0.1,64,executor_threads,0,0,off
8,S-P3_tpch_q3_iter3_iter1,206.21,205.949,-0.13,64,executor_threads,0,0,off
9,S-P3_tpch_q4_iter1_iter1,169.966,169.783,-0.11,65,executor_threads,0,0,off
10,S-P3_tpch_q4_iter2_iter1,168.092,167.884,-0.12,65,executor_threads,0,0,off
11,S-P3_tpch_q4_iter3_iter1,168.484,168.262,-0.13,65,executor_threads,0,0,off
12,S-P3_tpch_q5_iter1_iter1,236.086,235.797,-0.12,96,executor_threads,0,0,off
13,S-P3_tpch_q5_iter2_iter1,230.539,230.374,-0.07,93,executor_threads,0,0,off
14,S-P3_tpch_q5_iter3_iter1,229.164,229.002,-0.07,93,executor_threads,0,0,off
15,S-P3_tpch_q6_iter1_iter1,79.766,79.656,-0.14,24,executor_threads,0,0,off
16,S-P3_tpch_q6_iter2_iter1,49.765,49.665,-0.2,24,executor_threads,0,0,off
17,S-P3_tpch_q6_iter3_iter1,49.799,49.703,-0.19,24,executor_threads,0,0,off
18,S-P3_tpch_q7_iter1_iter1,248.906,248.729,-0.07,88,executor_threads,0,0,off
19,S-P3_tpch_q7_iter2_iter1,227.027,226.836,-0.08,88,executor_threads,0,0,off
20,S-P3_tpch_q7_iter3_iter1,228.404,228.23,-0.08,88,executor_threads,0,0,off
21,S-P3_tpch_q8_iter1_iter1,189.683,189.41,-0.14,102,executor_threads,0,0,off
22,S-P3_tpch_q8_iter2_iter1,179.949,179.599,-0.19,102,executor_threads,0,0,off
23,S-P3_tpch_q8_iter3_iter1,181.084,180.8,-0.16,102,executor_threads,0,0,off
24,S-P3_tpch_q9_iter1_iter1,841.482,841.33,-0.02,134,executor_threads,0,0,off
25,S-P3_tpch_q9_iter2_iter1,837.622,837.442,-0.02,134,executor_threads,0,0,off
26,S-P3_tpch_q9_iter3_iter1,851.963,851.012,-0.11,137,executor_threads,0,0,off
27,S-P3_tpch_q10_iter1_iter1,234.122,233.974,-0.06,78,executor_threads,0,0,off
28,S-P3_tpch_q10_iter2_iter1,234.426,234.271,-0.07,78,executor_threads,0,0,off
29,S-P3_tpch_q10_iter3_iter1,233.945,233.792,-0.07,78,executor_threads,0,0,off
30,S-P3_tpch_q11_iter1_iter1,196.51,196.326,-0.09,51,dependencies,0,0,off
31,S-P3_tpch_q11_iter2_iter1,195.94,195.774,-0.08,51,dependencies,0,0,off
32,S-P3_tpch_q11_iter3_iter1,195.93,195.755,-0.09,51,dependencies,0,0,off
33,S-P3_tpch_q12_iter1_iter1,189.048,188.904,-0.08,60,executor_threads,0,0,off
34,S-P3_tpch_q12_iter2_iter1,165.538,165.393,-0.09,60,executor_threads,0,0,off
35,S-P3_tpch_q12_iter3_iter1,165.973,165.804,-0.1,60,executor_threads,0,0,off
36,S-P3_tpch_q13_iter1_iter1,773.707,773.499,-0.03,38,executor_threads,0,0,off
37,S-P3_tpch_q13_iter2_iter1,773.61,773.433,-0.02,38,executor_threads,0,0,off
38,S-P3_tpch_q13_iter3_iter1,768.818,768.655,-0.02,38,executor_threads,0,0,off
39,S-P3_tpch_q14_iter1_iter1,76.607,76.483,-0.16,45,executor_threads,0,0,off
40,S-P3_tpch_q14_iter2_iter1,76.145,75.911,-0.31,45,executor_threads,0,0,off
41,S-P3_tpch_q14_iter3_iter1,76.255,76.029,-0.3,45,executor_threads,0,0,off
42,S-P3_tpch_q15_iter1_iter1,73.548,73.19,-0.49,59,executor_threads,0,0,off
43,S-P3_tpch_q15_iter2_iter1,73.17,72.878,-0.4,59,executor_threads,0,0,off
44,S-P3_tpch_q15_iter3_iter1,73.386,72.905,-0.66,59,executor_threads,0,0,off
45,S-P3_tpch_q16_iter1_iter1,289.996,289.804,-0.07,20,dependencies,0,0,off
46,S-P3_tpch_q16_iter2_iter1,276.026,275.833,-0.07,20,dependencies,0,0,off
47,S-P3_tpch_q16_iter3_iter1,275.768,275.586,-0.07,20,dependencies,0,0,off
48,S-P3_tpch_q17_iter1_iter1,181.252,181.025,-0.13,86,executor_threads,0,0,off
49,S-P3_tpch_q17_iter2_iter1,158.446,158.2,-0.16,86,executor_threads,0,0,off
50,S-P3_tpch_q17_iter3_iter1,156.171,156.002,-0.11,86,executor_threads,0,0,off
51,S-P3_tpch_q18_iter1_iter1,860.052,859.877,-0.02,82,executor_threads,0,0,off
52,S-P3_tpch_q18_iter2_iter1,861.315,861.182,-0.02,82,executor_threads,0,0,off
53,S-P3_tpch_q18_iter3_iter1,853.725,853.603,-0.01,82,executor_threads,0,0,off
54,S-P3_tpch_q19_iter1_iter1,218.714,218.488,-0.1,87,executor_threads,0,0,off
55,S-P3_tpch_q19_iter2_iter1,183.232,183.004,-0.12,87,executor_threads,0,0,off
56,S-P3_tpch_q19_iter3_iter1,183.573,183.079,-0.27,87,executor_threads,0,0,off
57,S-P3_tpch_q20_iter1_iter1,138.209,138.068,-0.1,73,executor_threads,0,0,off
58,S-P3_tpch_q20_iter2_iter1,130.784,130.642,-0.11,73,executor_threads,0,0,off
59,S-P3_tpch_q20_iter3_iter1,127.146,126.991,-0.12,73,executor_threads,0,0,off
60,S-P3_tpch_q21_iter1_iter1,621.392,621.227,-0.03,146,executor_threads,0,0,off
61,S-P3_tpch_q21_iter2_iter1,617.811,617.643,-0.03,146,executor_threads,0,0,off
62,S-P3_tpch_q21_iter3_iter1,619.449,619.186,-0.04,146,executor_threads,0,0,off
63,S-P3_tpch_q22_iter1_iter1,123.372,123.191,-0.15,31,dependencies,0,0,off
64,S-P3_tpch_q22_iter2_iter1,107.898,107.72,-0.16,31,dependencies,0,0,off
65,S-P3_tpch_q22_iter3_iter1,107.031,106.854,-0.16,31,dependencies,0,0,off
