q,GC050_pct,GC075_pct,GC125_pct,GC200_pct,MB050_pct,MB200_pct,CC025_pct,CC050_pct,CC200_pct,IO025_pct,IO050_pct,MC050_pct,MC025_pct
1,+39.7,+12.8,-6.9,-18.3,+39.9,-0.1,+0.1,+0.0,+0.0,+0.1,+0.0,+2.7,+34.5
2,+18.2,+4.1,-1.8,-3.9,+28.1,-4.9,+1.2,+0.4,+0.0,+25.0,+8.4,+0.0,+0.0
3,+81.9,+24.2,-2.6,-7.0,+86.9,+1.3,+0.2,+0.0,+0.0,+22.9,+10.7,+0.0,+5.9
4,+97.9,+32.8,-1.4,-3.6,+99.0,+3.9,+0.1,+0.0,+0.0,+0.1,+0.0,+19.9,+63.9
5,+95.1,+31.9,-1.1,-5.3,+97.2,+4.8,+0.1,+0.0,+0.0,+0.1,+0.0,+0.0,+6.2
6,+93.5,+30.2,-0.2,-5.1,+97.2,+5.7,+0.6,+0.2,+0.0,+4.3,+0.8,+13.2,+55.3
7,+79.3,+23.2,-2.2,-5.4,+81.7,-0.8,+0.1,+0.0,+0.0,+10.8,+0.0,+0.0,+0.0
8,+103.5,+36.3,+0.8,-6.6,+105.1,+9.7,+0.1,+0.1,+0.0,+0.3,+0.1,+0.0,+9.8
9,+98.7,+37.8,+4.9,-4.5,+102.3,+11.4,+0.0,+0.0,+0.0,+1.6,+0.7,+0.0,+275.0
10,+86.6,+26.0,-4.9,-12.2,+87.8,-1.0,+0.2,+0.0,+0.0,+13.7,+4.6,+0.0,+14.4
11,+111.0,+49.9,+8.7,-2.7,+112.5,+18.7,+0.1,+0.0,+0.0,+12.9,+4.3,+0.0,+88.6
12,+97.8,+36.4,-2.0,-4.9,+100.5,+1.3,+0.1,+0.0,+0.0,+0.1,+0.0,+0.0,+25.2
13,+98.8,+32.7,-11.9,-29.8,+101.6,+0.0,+0.6,+0.2,+0.0,+111.5,+37.0,+11.0,+35.3
14,+93.3,+32.1,-11.6,-29.4,+97.2,+1.8,+0.4,+0.1,+0.0,+4.7,+0.3,+0.0,+7.8
15,+109.2,+42.8,-4.0,-13.7,+111.9,+9.7,+0.4,+0.1,+0.0,+0.6,+0.3,+16.3,+52.0
16,+80.6,+24.9,-14.1,-35.3,+84.5,-1.9,+0.1,+0.0,+0.0,+31.9,+8.4,+0.0,+0.0
17,+137.7,+75.9,-1.0,-2.4,+138.3,+45.8,+0.1,+0.1,+0.0,+36.5,+34.3,+0.0,+42.0
18,+95.2,+32.0,-0.2,-0.5,+97.2,+0.7,+0.0,+0.0,+0.0,+0.0,+0.0,+13.9,+374.5
19,+80.6,+21.5,-1.5,-3.8,+82.6,-0.2,+0.7,+0.2,+0.0,+19.9,+15.1,+12.9,+28.1
20,+81.9,+37.7,-0.1,-0.1,+85.5,+0.2,+0.4,+0.0,+0.0,+68.2,+42.7,+0.0,+25.6
21,+89.8,+30.9,-1.6,-4.2,+86.0,+2.6,+0.0,+0.0,+0.0,+0.1,+0.0,+0.7,+14.7
22,+69.2,+22.0,-11.8,-29.3,+70.3,-0.9,+0.2,+0.1,+0.0,+29.7,+1.9,+0.0,+0.0
SUITE,+89.7,+31.6,-2.8,-10.5,+91.5,+4.2,+0.2,+0.1,+0.0,+21.1,+8.0,+4.7,+106.4
