row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
SW-CC050,1,c2c_bandwidth=0.5,469.3,469.2,executor_threads,0,2,100.0
SW-CC050,2,c2c_bandwidth=0.5,51.4,51.2,dependencies,0,2,100.0
SW-CC050,3,c2c_bandwidth=0.5,206.7,206.6,executor_threads,0,2,100.0
SW-CC050,4,c2c_bandwidth=0.5,168.3,168.3,executor_threads,0,2,100.0
SW-CC050,5,c2c_bandwidth=0.5,227.6,227.5,executor_threads,0,2,100.0
SW-CC050,6,c2c_bandwidth=0.5,49.5,49.4,executor_threads,0,2,100.0
SW-CC050,7,c2c_bandwidth=0.5,227.1,227.0,executor_threads,0,2,100.0
SW-CC050,8,c2c_bandwidth=0.5,182.1,182.0,executor_threads,0,2,100.0
SW-CC050,9,c2c_bandwidth=0.5,841.6,841.5,executor_threads,0,2,100.0
SW-CC050,10,c2c_bandwidth=0.5,233.8,233.7,executor_threads,0,2,100.0
SW-CC050,11,c2c_bandwidth=0.5,196.1,196.1,dependencies,0,2,100.0
SW-CC050,12,c2c_bandwidth=0.5,166.0,166.0,executor_threads,0,2,100.0
SW-CC050,13,c2c_bandwidth=0.5,767.9,766.2,executor_threads,0,2,100.0
SW-CC050,14,c2c_bandwidth=0.5,76.0,75.9,executor_threads,0,2,100.0
SW-CC050,15,c2c_bandwidth=0.5,72.6,72.5,executor_threads,0,2,100.0
SW-CC050,16,c2c_bandwidth=0.5,276.0,275.9,dependencies,0,2,100.0
SW-CC050,17,c2c_bandwidth=0.5,155.9,155.8,executor_threads,0,2,100.0
SW-CC050,18,c2c_bandwidth=0.5,854.8,854.8,executor_threads,0,2,100.0
SW-CC050,19,c2c_bandwidth=0.5,185.0,184.6,executor_threads,0,2,100.0
SW-CC050,20,c2c_bandwidth=0.5,131.7,131.7,executor_threads,0,2,100.0
SW-CC050,21,c2c_bandwidth=0.5,618.9,618.8,executor_threads,0,2,100.0
SW-CC050,22,c2c_bandwidth=0.5,107.2,107.1,dependencies,0,2,100.0
