row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
SW-GC075,1,gpu_compute=0.75,529.4,469.2,executor_threads,0,2,100.0
SW-GC075,2,gpu_compute=0.75,53.3,51.2,gpu_device,0,2,100.0
SW-GC075,3,gpu_compute=0.75,256.7,206.6,gpu_device,0,2,100.0
SW-GC075,4,gpu_compute=0.75,223.5,168.3,gpu_device,0,2,100.0
SW-GC075,5,gpu_compute=0.75,300.0,227.5,gpu_device,0,2,100.0
SW-GC075,6,gpu_compute=0.75,64.3,49.4,gpu_device,0,2,100.0
SW-GC075,7,gpu_compute=0.75,279.7,227.0,gpu_device,0,2,100.0
SW-GC075,8,gpu_compute=0.75,248.1,182.0,gpu_device,0,2,100.0
SW-GC075,9,gpu_compute=0.75,1160.0,841.5,gpu_device,0,2,100.0
SW-GC075,10,gpu_compute=0.75,294.4,233.7,gpu_device,0,2,100.0
SW-GC075,11,gpu_compute=0.75,294.0,196.1,gpu_device,0,2,100.0
SW-GC075,12,gpu_compute=0.75,226.4,166.0,gpu_device,0,2,100.0
SW-GC075,13,gpu_compute=0.75,1016.9,766.2,gpu_device,0,2,100.0
SW-GC075,14,gpu_compute=0.75,100.3,75.9,gpu_device,0,2,100.0
SW-GC075,15,gpu_compute=0.75,103.5,72.5,gpu_device,0,2,100.0
SW-GC075,16,gpu_compute=0.75,344.5,275.9,gpu_device,0,2,100.0
SW-GC075,17,gpu_compute=0.75,274.0,155.8,executor_threads|gpu_device,0,2,100.0
SW-GC075,18,gpu_compute=0.75,1128.1,854.8,gpu_device,0,2,100.0
SW-GC075,19,gpu_compute=0.75,224.2,184.6,executor_threads,0,2,100.0
SW-GC075,20,gpu_compute=0.75,181.4,131.7,executor_threads|gpu_device,0,2,100.0
SW-GC075,21,gpu_compute=0.75,809.9,618.8,gpu_device,0,2,100.0
SW-GC075,22,gpu_compute=0.75,130.7,107.1,gpu_device,0,2,100.0
