row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n
SW-GC200v0,1,gpu_compute=2.0,235.3,469.2,executor_threads,0,2
SW-GC200v0,2,gpu_compute=2.0,40.9,51.2,dependencies,0,2
SW-GC200v0,3,gpu_compute=2.0,140.4,206.6,executor_threads,0,2
SW-GC200v0,4,gpu_compute=2.0,153.1,168.3,executor_threads,0,2
SW-GC200v0,5,gpu_compute=2.0,149.2,227.5,executor_threads,0,2
SW-GC200v0,6,gpu_compute=2.0,25.2,49.4,executor_threads,0,2
SW-GC200v0,7,gpu_compute=2.0,198.7,227.0,executor_threads,0,2
SW-GC200v0,8,gpu_compute=2.0,125.8,182.0,executor_threads,0,2
SW-GC200v0,9,gpu_compute=2.0,622.7,841.5,executor_threads,0,2
SW-GC200v0,10,gpu_compute=2.0,194.9,233.7,executor_threads,0,2
SW-GC200v0,11,gpu_compute=2.0,142.3,196.1,dependencies,0,2
SW-GC200v0,12,gpu_compute=2.0,145.8,166.0,executor_threads,0,2
SW-GC200v0,13,gpu_compute=2.0,537.0,766.2,executor_threads,0,2
SW-GC200v0,14,gpu_compute=2.0,39.9,75.9,executor_threads,0,2
SW-GC200v0,15,gpu_compute=2.0,38.2,72.5,executor_threads,0,2
SW-GC200v0,16,gpu_compute=2.0,160.4,275.9,dependencies,0,2
SW-GC200v0,17,gpu_compute=2.0,124.6,155.8,executor_threads,0,2
SW-GC200v0,18,gpu_compute=2.0,818.9,854.8,executor_threads,0,2
SW-GC200v0,19,gpu_compute=2.0,115.6,184.6,executor_threads,0,2
SW-GC200v0,20,gpu_compute=2.0,127.5,131.7,executor_threads,0,2
SW-GC200v0,21,gpu_compute=2.0,532.0,618.8,executor_threads,0,2
SW-GC200v0,22,gpu_compute=2.0,73.3,107.1,dependencies,0,2
