row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
SW-IO050,1,io_bandwidth=0.5,469.3,469.2,executor_threads,0,2,100.0
SW-IO050,2,io_bandwidth=0.5,55.5,51.2,dependencies,0,2,100.0
SW-IO050,3,io_bandwidth=0.5,228.8,206.6,executor_threads,0,2,100.0
SW-IO050,4,io_bandwidth=0.5,168.3,168.3,executor_threads,0,2,100.0
SW-IO050,5,io_bandwidth=0.5,227.6,227.5,executor_threads,0,2,100.0
SW-IO050,6,io_bandwidth=0.5,49.8,49.4,executor_threads,0,2,100.0
SW-IO050,7,io_bandwidth=0.5,227.0,227.0,executor_threads,0,2,100.0
SW-IO050,8,io_bandwidth=0.5,182.2,182.0,executor_threads,0,2,100.0
SW-IO050,9,io_bandwidth=0.5,847.1,841.5,executor_threads,0,2,100.0
SW-IO050,10,io_bandwidth=0.5,244.4,233.7,executor_threads,0,2,100.0
SW-IO050,11,io_bandwidth=0.5,204.5,196.1,dependencies,0,2,100.0
SW-IO050,12,io_bandwidth=0.5,166.0,166.0,executor_threads,0,2,100.0
SW-IO050,13,io_bandwidth=0.5,1049.6,766.2,executor_threads,0,2,100.0
SW-IO050,14,io_bandwidth=0.5,76.1,75.9,executor_threads,0,2,100.0
SW-IO050,15,io_bandwidth=0.5,72.7,72.5,executor_threads,0,2,100.0
SW-IO050,16,io_bandwidth=0.5,299.0,275.9,dependencies,0,2,100.0
SW-IO050,17,io_bandwidth=0.5,209.3,155.8,executor_threads,0,2,100.0
SW-IO050,18,io_bandwidth=0.5,854.8,854.8,executor_threads,0,2,100.0
SW-IO050,19,io_bandwidth=0.5,212.5,184.6,executor_threads,0,2,100.0
SW-IO050,20,io_bandwidth=0.5,187.9,131.7,executor_threads,0,2,100.0
SW-IO050,21,io_bandwidth=0.5,618.9,618.8,executor_threads,0,2,100.0
SW-IO050,22,io_bandwidth=0.5,109.1,107.1,dependencies,0,2,100.0
