row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
SW-MB200,1,gpu_mem_bandwidth=2.0,468.8,469.2,executor_threads,0,2,100.0
SW-MB200,2,gpu_mem_bandwidth=2.0,48.7,51.2,dependencies,0,2,100.0
SW-MB200,3,gpu_mem_bandwidth=2.0,209.3,206.6,executor_threads,0,2,100.0
SW-MB200,4,gpu_mem_bandwidth=2.0,174.9,168.3,executor_threads,0,2,100.0
SW-MB200,5,gpu_mem_bandwidth=2.0,238.4,227.5,executor_threads|gpu_device,0,2,100.0
SW-MB200,6,gpu_mem_bandwidth=2.0,52.2,49.4,executor_threads,0,2,100.0
SW-MB200,7,gpu_mem_bandwidth=2.0,225.2,227.0,executor_threads,0,2,100.0
SW-MB200,8,gpu_mem_bandwidth=2.0,199.6,182.0,executor_threads,0,2,100.0
SW-MB200,9,gpu_mem_bandwidth=2.0,937.8,841.5,gpu_device,0,2,100.0
SW-MB200,10,gpu_mem_bandwidth=2.0,231.4,233.7,gpu_device,0,2,100.0
SW-MB200,11,gpu_mem_bandwidth=2.0,232.7,196.1,gpu_device,0,2,100.0
SW-MB200,12,gpu_mem_bandwidth=2.0,168.1,166.0,gpu_device,0,2,100.0
SW-MB200,13,gpu_mem_bandwidth=2.0,766.4,766.2,gpu_device,0,2,100.0
SW-MB200,14,gpu_mem_bandwidth=2.0,77.3,75.9,executor_threads,0,2,100.0
SW-MB200,15,gpu_mem_bandwidth=2.0,79.5,72.5,gpu_device,0,2,100.0
SW-MB200,16,gpu_mem_bandwidth=2.0,270.7,275.9,dependencies,0,2,100.0
SW-MB200,17,gpu_mem_bandwidth=2.0,227.2,155.8,executor_threads|gpu_device,0,2,100.0
SW-MB200,18,gpu_mem_bandwidth=2.0,860.4,854.8,gpu_device,0,2,100.0
SW-MB200,19,gpu_mem_bandwidth=2.0,184.3,184.6,executor_threads,0,2,100.0
SW-MB200,20,gpu_mem_bandwidth=2.0,132.0,131.7,executor_threads,0,2,100.0
SW-MB200,21,gpu_mem_bandwidth=2.0,635.0,618.8,executor_threads,0,2,100.0
SW-MB200,22,gpu_mem_bandwidth=2.0,106.1,107.1,dependencies,0,2,100.0
