row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
SW-MC025,1,gpu_mem_capacity=0.25,630.9,469.2,gpu_memory,0,2,100.0
SW-MC025,2,gpu_mem_capacity=0.25,51.2,51.2,dependencies,0,2,100.0
SW-MC025,3,gpu_mem_capacity=0.25,218.8,206.6,executor_threads,0,2,100.0
SW-MC025,4,gpu_mem_capacity=0.25,275.9,168.3,gpu_memory,0,2,100.0
SW-MC025,5,gpu_mem_capacity=0.25,241.6,227.5,executor_threads,0,2,100.0
SW-MC025,6,gpu_mem_capacity=0.25,76.7,49.4,gpu_memory,0,2,100.0
SW-MC025,7,gpu_mem_capacity=0.25,227.0,227.0,executor_threads,0,2,100.0
SW-MC025,8,gpu_mem_capacity=0.25,199.8,182.0,executor_threads,0,2,100.0
SW-MC025,9,gpu_mem_capacity=0.25,3155.6,841.5,gpu_memory,0,2,100.0
SW-MC025,10,gpu_mem_capacity=0.25,267.4,233.7,gpu_memory,0,2,100.0
SW-MC025,11,gpu_mem_capacity=0.25,369.8,196.1,gpu_memory,0,2,100.0
SW-MC025,12,gpu_mem_capacity=0.25,207.8,166.0,gpu_memory,0,2,100.0
SW-MC025,13,gpu_mem_capacity=0.25,1036.8,766.2,gpu_memory,0,2,100.0
SW-MC025,14,gpu_mem_capacity=0.25,81.8,75.9,executor_threads,0,2,100.0
SW-MC025,15,gpu_mem_capacity=0.25,110.2,72.5,gpu_memory,0,2,100.0
SW-MC025,16,gpu_mem_capacity=0.25,275.9,275.9,dependencies,0,2,100.0
SW-MC025,17,gpu_mem_capacity=0.25,221.2,155.8,executor_threads,0,2,100.0
SW-MC025,18,gpu_mem_capacity=0.25,4056.1,854.8,gpu_memory,0,2,100.0
SW-MC025,19,gpu_mem_capacity=0.25,236.4,184.6,executor_threads,0,2,100.0
SW-MC025,20,gpu_mem_capacity=0.25,165.4,131.7,gpu_memory,0,2,100.0
SW-MC025,21,gpu_mem_capacity=0.25,709.6,618.8,gpu_memory,0,2,100.0
SW-MC025,22,gpu_mem_capacity=0.25,107.1,107.1,dependencies,0,2,100.0
