index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks,spill_mode
0,XM-BASE_tpch_q1_iter1_iter1,1173.383,1172.484,-0.08,106,executor_threads,0,0,off
1,XM-BASE_tpch_q1_iter2_iter1,1132.787,1132.141,-0.06,106,executor_threads,0,0,off
2,XM-BASE_tpch_q1_iter3_iter1,1097.471,1096.527,-0.09,106,executor_threads,0,0,off
3,XM-BASE_tpch_q2_iter1_iter1,488.27,488.079,-0.04,73,dependencies,0,0,off
4,XM-BASE_tpch_q2_iter2_iter1,454.661,454.484,-0.04,73,dependencies,0,0,off
5,XM-BASE_tpch_q2_iter3_iter1,454.212,453.998,-0.05,73,dependencies,0,0,off
6,XM-BASE_tpch_q3_iter1_iter1,1324.78,1324.589,-0.01,90,executor_threads,0,0,off
7,XM-BASE_tpch_q3_iter2_iter1,1233.263,1231.515,-0.14,90,executor_threads,0,0,off
8,XM-BASE_tpch_q3_iter3_iter1,1298.425,1297.991,-0.03,90,executor_threads,0,0,off
9,XM-BASE_tpch_q4_iter1_iter1,748.346,748.131,-0.03,77,executor_threads,0,0,off
10,XM-BASE_tpch_q4_iter2_iter1,696.702,696.449,-0.04,77,executor_threads,0,0,off
11,XM-BASE_tpch_q4_iter3_iter1,682.002,681.787,-0.03,77,executor_threads,0,0,off
12,XM-BASE_tpch_q5_iter1_iter1,1555.508,1555.199,-0.02,130,executor_threads,0,0,off
13,XM-BASE_tpch_q5_iter2_iter1,1538.306,1538.043,-0.02,130,executor_threads,0,0,off
14,XM-BASE_tpch_q5_iter3_iter1,1535.993,1535.674,-0.02,130,executor_threads,0,0,off
15,XM-BASE_tpch_q6_iter1_iter1,840.515,840.37,-0.02,34,executor_threads,0,0,off
16,XM-BASE_tpch_q6_iter2_iter1,803.617,803.479,-0.02,34,executor_threads,0,0,off
17,XM-BASE_tpch_q6_iter3_iter1,794.672,794.536,-0.02,34,executor_threads,0,0,off
18,XM-BASE_tpch_q7_iter1_iter1,1736.819,1736.618,-0.01,130,executor_threads,0,0,off
19,XM-BASE_tpch_q7_iter2_iter1,1710.281,1710.108,-0.01,130,executor_threads,0,0,off
20,XM-BASE_tpch_q7_iter3_iter1,1711.058,1710.891,-0.01,130,executor_threads,0,0,off
21,XM-BASE_tpch_q8_iter1_iter1,2103.894,2103.373,-0.02,148,executor_threads,0,0,off
22,XM-BASE_tpch_q8_iter2_iter1,1965.573,1965.07,-0.03,148,executor_threads,0,0,off
23,XM-BASE_tpch_q8_iter3_iter1,2056.494,2055.954,-0.03,148,executor_threads,0,0,off
24,XM-BASE_tpch_q9_iter1_iter1,2350.556,2349.676,-0.04,226,executor_threads,0,0,off
25,XM-BASE_tpch_q9_iter2_iter1,2377.582,2376.795,-0.03,220,executor_threads,0,0,off
26,XM-BASE_tpch_q9_iter3_iter1,2401.508,2400.556,-0.04,220,executor_threads,0,0,off
27,XM-BASE_tpch_q10_iter1_iter1,1641.642,1641.458,-0.01,113,executor_threads,0,0,off
28,XM-BASE_tpch_q10_iter2_iter1,1495.519,1495.377,-0.01,113,executor_threads,0,0,off
29,XM-BASE_tpch_q10_iter3_iter1,1468.982,1468.84,-0.01,113,executor_threads,0,0,off
30,XM-BASE_tpch_q11_iter1_iter1,363.207,362.981,-0.06,65,executor_threads,0,0,off
31,XM-BASE_tpch_q11_iter2_iter1,334.007,333.589,-0.13,65,executor_threads,0,0,off
32,XM-BASE_tpch_q11_iter3_iter1,339.54,400.245,17.88,65,executor_threads,0,0,off
33,XM-BASE_tpch_q12_iter1_iter1,836.688,836.551,-0.02,74,executor_threads,0,0,off
34,XM-BASE_tpch_q12_iter2_iter1,833.436,833.294,-0.02,74,executor_threads,0,0,off
35,XM-BASE_tpch_q12_iter3_iter1,847.441,847.301,-0.02,74,executor_threads,0,0,off
36,XM-BASE_tpch_q13_iter1_iter1,1213.262,1212.684,-0.05,70,executor_threads,0,0,off
37,XM-BASE_tpch_q13_iter2_iter1,1120.749,1120.371,-0.03,70,executor_threads,0,0,off
38,XM-BASE_tpch_q13_iter3_iter1,1117.079,1116.686,-0.04,70,executor_threads,0,0,off
39,XM-BASE_tpch_q14_iter1_iter1,1291.423,1291.243,-0.01,74,executor_threads,0,0,off
40,XM-BASE_tpch_q14_iter2_iter1,1285.32,1285.045,-0.02,74,executor_threads,0,0,off
41,XM-BASE_tpch_q14_iter3_iter1,1307.586,1307.302,-0.02,74,executor_threads,0,0,off
42,XM-BASE_tpch_q15_iter1_iter1,1280.259,1279.745,-0.04,85,executor_threads,0,0,off
43,XM-BASE_tpch_q15_iter2_iter1,1280.103,1279.591,-0.04,85,executor_threads,0,0,off
44,XM-BASE_tpch_q15_iter3_iter1,1264.489,1263.651,-0.07,85,executor_threads,0,0,off
45,XM-BASE_tpch_q16_iter1_iter1,290.723,290.533,-0.07,22,dependencies,0,0,off
46,XM-BASE_tpch_q16_iter2_iter1,251.95,251.762,-0.07,22,dependencies,0,0,off
47,XM-BASE_tpch_q16_iter3_iter1,257.168,256.991,-0.07,22,dependencies,0,0,off
48,XM-BASE_tpch_q17_iter1_iter1,1753.141,1752.82,-0.02,116,executor_threads,0,0,off
49,XM-BASE_tpch_q17_iter2_iter1,1789.087,1788.629,-0.03,116,executor_threads,0,0,off
50,XM-BASE_tpch_q17_iter3_iter1,1774.545,1774.304,-0.01,116,executor_threads,0,0,off
51,XM-BASE_tpch_q18_iter1_iter1,1068.443,1068.264,-0.02,122,executor_threads,0,0,off
52,XM-BASE_tpch_q18_iter2_iter1,1080.698,1080.479,-0.02,122,executor_threads,0,0,off
53,XM-BASE_tpch_q18_iter3_iter1,1074.932,1074.586,-0.03,122,executor_threads,0,0,off
54,XM-BASE_tpch_q19_iter1_iter1,1434.572,1434.163,-0.03,101,executor_threads,0,0,off
55,XM-BASE_tpch_q19_iter2_iter1,1421.769,1421.215,-0.04,101,executor_threads,0,0,off
56,XM-BASE_tpch_q19_iter3_iter1,1423.026,1422.427,-0.04,101,executor_threads,0,0,off
57,XM-BASE_tpch_q20_iter1_iter1,1548.826,1548.673,-0.01,109,executor_threads,0,0,off
58,XM-BASE_tpch_q20_iter2_iter1,1547.071,1546.908,-0.01,109,executor_threads,0,0,off
59,XM-BASE_tpch_q20_iter3_iter1,1545.069,1544.916,-0.01,109,executor_threads,0,0,off
60,XM-BASE_tpch_q21_iter1_iter1,2870.752,2870.337,-0.01,209,executor_threads,0,0,off
61,XM-BASE_tpch_q21_iter2_iter1,2879.005,2878.777,-0.01,209,executor_threads,0,0,off
62,XM-BASE_tpch_q21_iter3_iter1,2884.343,2884.092,-0.01,209,executor_threads,0,0,off
63,XM-BASE_tpch_q22_iter1_iter1,333.468,333.287,-0.05,37,dependencies,0,0,off
64,XM-BASE_tpch_q22_iter2_iter1,328.053,327.879,-0.05,37,dependencies,0,0,off
65,XM-BASE_tpch_q22_iter3_iter1,322.893,322.712,-0.06,37,dependencies,0,0,off
