row_id,status,utc_start,utc_end,session_uuid,nominal_factor,f_ach,queries_run,gpu_busy_est_s,notes
P1a,done,2026-08-04T21:38:51Z,2026-08-04T21:44:14Z,019fceb7-13e8-7a43-bd5d-c5c6313a6f5f,1.0,1.0,"1 3 5 6 9 13 18 19 21",480,
P1b,done,2026-08-04T21:45:53Z,2026-08-04T21:51:40Z,019fcebd-84ad-79e1-8abe-b0876679c393,1.0,1.0,"1 3 5 6 9 13 18 19 21",330,
P2,done,2026-08-04T21:53:52Z,2026-08-04T21:58:04Z,none,1.0,1.0,"1 3 5 6 9 13 18 19 21",300,quent_off
B1,done,2026-08-04T22:01:20Z,2026-08-04T22:08:16Z,019fcecb-a8d8-7001-8eb5-71e33e453659,1.0,1.0,"1 9 13 19 21",240,
P3,done,2026-08-04T22:29:52Z,2026-08-04T22:36:51Z,019fcee5-d6f7-7610-b506-718e9a1469c4,1.0,1.0,"1 9 13 19 21",180,mps_pct100
E1-75,done,2026-08-04T22:39:26Z,2026-08-04T22:46:39Z,019fceee-97c1-7570-a83a-a3e3f831afdb,0.75,0.75,"1 9 13 19 21",360,mps_pct75
E1-50,aborted,2026-08-04T22:48:43Z,2026-08-04T22:52:23Z,none,0.50,0.50,"1 9 13 19 21",420,mps_pct50_OOM_foreign_vram
E1-50,done,2026-08-04T23:28:57Z,2026-08-04T23:35:54Z,019fcf1b-ef3f-7712-aa4b-c932afa2e76e,0.50,0.50,"1 9 13 19 21",420,mps_pct50_retry2
E1-25,done,2026-08-04T23:35:54Z,2026-08-04T23:42:47Z,019fcf22-4a44-7aa3-ad1c-2a2f15660698,0.25,0.25,"1 9 13 19 21",540,mps_pct25_3iters
E2-hi,done,2026-08-04T23:42:47Z,2026-08-04T23:48:39Z,019fcf28-8959-7210-8511-ca4719015a25,0.5029,tbd,"1 9 13 19 21",300,capacity_128GB
E2-mid,done,2026-08-04T23:51:31Z,2026-08-05T00:08:17Z,019fcf30-85f1-7072-befd-dce2f3f824e0,0.2514,0.2514,"1 9 13 19 21",480,capacity_64GB
E2-lo-a,done,2026-08-05T00:14:45Z,2026-08-05T00:19:55Z,019fcf45-cb37-73f3-91fb-09db34bec8a5,0.1493,0.1493,"1 13 19",120,capacity_38GB_unpressured
E2-lo-q9,running,2026-08-05T00:15:29Z,,,0.1493,tbd,"9",720,capacity_38GB_guarded
